username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
IPv3,2012-06-12 17:55,0,0,"#bitcoin http:// bitaddress.org #DNS #DDNS",,,#bitcoin #DNS #DDNS,"212694633023684608",https://twitter.com/IPv3/status/212694633023684608
BTCtweetzer,2012-06-12 17:53,0,0,"Is there any "easy" way to purchase bitcoins with a debit card? http:// q.gs/1O7yY #bitcoin",,,#bitcoin,"212694104717524993",https://twitter.com/BTCtweetzer/status/212694104717524993
bitcointrader,2012-06-12 17:46,0,0,"June 2011 was truly insane. On June 12, 2011, the BTC/USD exchange rate fell from $24 to $13: http:// bit.ly/MqsMTu #bitcoin",,,#bitcoin,"212692420125659136",https://twitter.com/bitcointrader/status/212692420125659136
SatoshiDICE,2012-06-12 17:40,0,0,"163Supe8 just won 5.060 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"212690993659654144",https://twitter.com/SatoshiDICE/status/212690993659654144
CrizzlesButtons,2012-06-12 17:40,0,0,"http:// Rugatu.com Q&A for #bitcoin has launched in beta http:// goo.gl/MrMfu #FZB #spon http:// feedzebirds.com/3paby",,,#bitcoin #FZB #spon,"212690780534484992",https://twitter.com/CrizzlesButtons/status/212690780534484992
W_T_C_R,2012-06-12 17:39,0,0,"Gigabyte Radeon HD 7950 3GB GDDR5 PCI-E 3.0 http:// bit.ly/MtBhQC #btc #buy #gigabyte #ati #radeon with #bitcoin",,,#btc #buy #gigabyte #ati #radeon #bitcoin,"212690553899462658",https://twitter.com/W_T_C_R/status/212690553899462658
SatoshiDICE,2012-06-12 17:32,0,0,"1DhWG4Dv just won 7.530 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"212688979772981248",https://twitter.com/SatoshiDICE/status/212688979772981248
SatoshiDICE,2012-06-12 17:30,0,0,"19FngHr7 just won 5.060 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"212688363541639169",https://twitter.com/SatoshiDICE/status/212688363541639169
BitcoinByte,2012-06-12 17:29,0,0,"Apple WWDC: iOS6 Passbook app prepares iPhone to act as e-wallet #payments #bitcoin @jonmatonis @brettking http://www. telegraph.co.uk/technology/app le/9326872/Apple-WWDC-iOS6-Passbook-app-prepares-iPhone-to-act-as-e-wallet.html …",,@jonmatonis @brettking,#payments #bitcoin,"212688197107458048",https://twitter.com/BitcoinByte/status/212688197107458048
eduardo,2012-06-12 17:23,0,0,"@bi0xid Echa un vistazo a http://www. nubaria.com/es/blog/?p=43 y https:// es.bitcoin.it/wiki/ #bitcoin",,@bi0xid,#bitcoin,"212686482719248384",https://twitter.com/eduardo/status/212686482719248384
