username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
1707Momo,2017-03-24 17:59,0,0,"Free Bitcoins Faucet - Earn $100 free btc in 5 minutes https:// goo.gl/0lr5uj #bitcoin #freebtc #getbtc",,,#bitcoin #freebtc #getbtc,"845424981064519681",https://twitter.com/1707Momo/status/845424981064519681
OhGodAGirl,2017-03-21 12:04,21953,772,"#Bitcoin has become polluted with politics. Didn't we get into #Bitcoin to avoid government interference? We've just made our own, instead.",,,#Bitcoin #Bitcoin,"844248240665038848",https://twitter.com/OhGodAGirl/status/844248240665038848
sanrenfa,2017-03-24 17:59,0,0,"Подпишитесь на Goldmoney с этой ссылке и получите 0,25 грамма золота! https:// bitgold.com/r/fQskZf #Goldmoney #Gold #Bitcoin",,,#Goldmoney #Gold #Bitcoin,"845424895664128000",https://twitter.com/sanrenfa/status/845424895664128000
ViscountofNada,2017-03-24 17:59,2,3,"#ETH close to overtaking #Bitcoin on volume for many exchanges. Exciting night.",,,#ETH #Bitcoin,"845424826550534145",https://twitter.com/ViscountofNada/status/845424826550534145
thekevgibson,2017-03-24 17:57,0,0,"@P2P_Foundation If the pending #HardFork is really the turning point for #bitcoin , then exciting times are ahead! pic.twitter.com/A4N7O20WbY",,@P2P_Foundation,#HardFork #bitcoin,"845424403215134720",https://twitter.com/thekevgibson/status/845424403215134720
Sicarious_,2017-03-24 17:57,2,6,"Bought some dips on this wick fuckery #bitcoin pic.twitter.com/DKsIWwBSTF",,,#bitcoin,"845424369270738944",https://twitter.com/Sicarious_/status/845424369270738944
newsym8p,2017-03-24 17:56,0,4,"昨夜は結局４回ゲームをして合計 0.18226BTC の勝ちとなりました。 出来過ぎの成績です。こんな時こそ気を引き締めていかないと。(^O^) #暗号通貨 #bitcoin #dbac #オンラインカジノ #バカラ pic.twitter.com/OdF7IWzrqG",,,# #bitcoin #dbac # #,"845424188626132992",https://twitter.com/newsym8p/status/845424188626132992
Email_Ripper,2017-03-24 17:56,2,1,"How to make money with #bitcoin https:// youtu.be/-rCAFUO2-z4",,,#bitcoin,"845424153373130752",https://twitter.com/Email_Ripper/status/845424153373130752
BitcoinMillion1,2017-03-24 17:56,0,2,"Ethtards come on #BTFD . Lets fo. You outta gas. hahaha. #Ethereum #Bitcoin",,,#BTFD #Ethereum #Bitcoin,"845424086364930052",https://twitter.com/BitcoinMillion1/status/845424086364930052
FBGroupPoster,2017-03-24 17:56,0,0,"How to make #money with #bitcoin https:// youtu.be/-rCAFUO2-z4",,,#money #bitcoin,"845424020946403330",https://twitter.com/FBGroupPoster/status/845424020946403330
