username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
AGDConsulting,2016-07-17 17:59,0,0,"Narco trade via Darknet, Bitcoin reported in India for first time https://www. google.com/url?rct=j&sa=t &url=http%3A%2F%2Findianexpress.com%2Farticle%2Findia%2Findia-news-india%2Fnarco-trade-via-darknet-bitcoin-reported-in-india-for-first-time-2918986%2F&ct=ga&cd=CAIyGjMyN2M4N2ZmMTYzMzk2OTU6Y29tOmVuOkNB&usg=AFQjCNGBow2vGOZkVJJLDAaNibIrEHIQYQ&utm_source=dlvr.it&utm_medium=twitter … #bitcoin",,,#bitcoin,"754827802768138240",https://twitter.com/AGDConsulting/status/754827802768138240
OnTheBlockChain,2016-07-17 17:58,0,0,"LOL. Happy Birthday! :-) #Bitcoin https:// twitter.com/brianchoffman/ status/754825440024461312 …",,,#Bitcoin,"754827773038866432",https://twitter.com/OnTheBlockChain/status/754827773038866432
TheAntiElitist,2016-07-17 17:58,0,0,"Narco trade via 'darknet', Bitcoin for first time - Chandigarh Tribune ➤ http:// ift.tt/2a2aCgo | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827707079335936",https://twitter.com/TheAntiElitist/status/754827707079335936
TheAntiElitist,2016-07-17 17:58,0,0,"Will the Brexit and China Continue to Influence Bitcoin Prices? - CoinDesk ➤ http:// ift.tt/2a2b5PW | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827705707823104",https://twitter.com/TheAntiElitist/status/754827705707823104
TheAntiElitist,2016-07-17 17:58,0,0,"Bitcoin Price Advance Still Unconfirmed - CryptoCoinsNews ➤ http:// ift.tt/2a2bwcL | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827704059518976",https://twitter.com/TheAntiElitist/status/754827704059518976
TheAntiElitist,2016-07-17 17:58,3,0,"Bitcoin And The Turkish Military Coup - Seeking Alpha ➤ http:// ift.tt/2a2b4vo | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827701224148992",https://twitter.com/TheAntiElitist/status/754827701224148992
TheAntiElitist,2016-07-17 17:58,0,0,"Salcido Enterprises LLC Expands Bitcoin and Ethereum Mining Venture - The Merkle ➤ http:// ift.tt/2a2aNIE | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827699852546048",https://twitter.com/TheAntiElitist/status/754827699852546048
TheAntiElitist,2016-07-17 17:58,0,0,"EUIPO Finds Bitcoin Hinders Anti-piracy Efforts - The Merkle ➤ http:// ift.tt/2a2bul9 | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827698355175424",https://twitter.com/TheAntiElitist/status/754827698355175424
TheAntiElitist,2016-07-17 17:58,0,0,"Bitcoin Price Weekly Analysis – Can BTC/USD Gain Further? - newsBTC ➤ http:// ift.tt/2a2aU73 | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827696664899588",https://twitter.com/TheAntiElitist/status/754827696664899588
TheAntiElitist,2016-07-17 17:58,0,0,"How To Buy Your First Bitcoin Or Ethereum - Huffington Post ➤ http:// ift.tt/2a2aNIN | #bitcoin #crypto #Anonymous",,,#bitcoin #crypto #Anonymous,"754827694915944450",https://twitter.com/TheAntiElitist/status/754827694915944450
