username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
MostlyBitcoin,2014-09-10 17:59,1,1,"re/code: Coinbase Expands #Bitcoin Buying Service to Europe http:// ift.tt/1tyIm3l Discuss: http:// ift.tt/1xL6t5j",,,#Bitcoin,"509853756700524544",https://twitter.com/MostlyBitcoin/status/509853756700524544
140BitCoin,2014-09-10 17:59,0,1,"Coinbase Extends Bitcoin Access to International Customers - New York Times http:// bit.ly/1snqbPS #bitcoin",,,#bitcoin,"509853728292106240",https://twitter.com/140BitCoin/status/509853728292106240
cryptocomp,2014-09-10 17:59,1,2,"CC10: 636.8 CC10x: 196.2 Top 5: #Quarkcoin #Litecoin #Namecoin #Peercoin #Bitcoin http:// cryptocomp.com pic.twitter.com/6F3hAmVCgr",,,#Quarkcoin #Litecoin #Namecoin #Peercoin #Bitcoin,"509853713507581952",https://twitter.com/cryptocomp/status/509853713507581952
VictorBjelkholm,2014-09-10 17:59,0,2,"Coinbase just gone available for all #Bitcoin fans in Europe! Wooo! https:// coinbase.com/?r=521c7935a82 d6805ba00004f …",,,#Bitcoin,"509853708742836224",https://twitter.com/VictorBjelkholm/status/509853708742836224
CryptoInfinity,2014-09-10 17:59,2,2,"We Are The Only Crypto Currency Community With Free Live Chat Rooms, Daily Give Aways & More https:// cryptoinfinity.com/index.php #bitcoin",,,#bitcoin,"509853619064414208",https://twitter.com/CryptoInfinity/status/509853619064414208
sovereignmonkey,2014-09-10 17:58,1,2,"Sir Richard Branson: I Think #Bitcoin Is Working https://www. youtube.com/watch?v=DzwTXZ DSyHo …",,,#Bitcoin,"509853502148182017",https://twitter.com/sovereignmonkey/status/509853502148182017
lisam_so,2014-09-10 17:58,1,2,"My alma mater. SFU is first Canadian university to accept Bitcoin donations: http:// shar.es/11UhNd @sfu #bitcoin",,@sfu,#bitcoin,"509853486758891521",https://twitter.com/lisam_so/status/509853486758891521
bitcoinmatin,2014-09-10 17:58,0,1,"#Scoop #Bitcoin : Bitcoin: Coinbase se lance dans 13 pays européens http:// bit.ly/1qFPSe2",,,#Scoop #Bitcoin,"509853460179980289",https://twitter.com/bitcoinmatin/status/509853460179980289
TradingCEX,2014-09-10 17:57,0,0,"Your habits are easily formed but be aware they are hard to pay for. - #Bitcoin #DayTrading",,,#Bitcoin #DayTrading,"509853094004658176",https://twitter.com/TradingCEX/status/509853094004658176
BitcoinDummies,2014-09-10 17:57,0,0,"Instant transactions, no waiting for checks to clear, no chargebacks #bitcoin #bitcoinpeak",,,#bitcoin #bitcoinpeak,"509853092146593792",https://twitter.com/BitcoinDummies/status/509853092146593792
