username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Anonibet,2015-10-24 17:59,0,0,"Have you placed your #bitcoin bets on these outrights that we have for soccer?>> http://www. anonibet.com for more pic.twitter.com/6PZsdnckVW",,,#bitcoin,"658070450954567680",https://twitter.com/Anonibet/status/658070450954567680
PB_Prathamesh_B,2015-10-24 17:59,0,0,"Mayor of Barcelona Advocates for a Local Digital Currency https://www. cryptocoinsnews.com/mayor-of-barce lona-advocates-for-a-local-digital-currency/ … #Bitcoin pic.twitter.com/UVosj2ZRUT",,,#Bitcoin,"658070440271851520",https://twitter.com/PB_Prathamesh_B/status/658070440271851520
PB_Prathamesh_B,2015-10-24 17:59,0,0,"Bitcoin Exchange CEX.IO Integrates with TradingView Charting Platform https://www. cryptocoinsnews.com/bitcoin-exchan ge-cex-io-integrates-with-tradingview-charting-platform/ … #Bitcoin pic.twitter.com/6sd0Vlk99q",,,#Bitcoin,"658070438308921344",https://twitter.com/PB_Prathamesh_B/status/658070438308921344
CryptoCoinsNews,2015-10-24 17:59,11,6,"Mayor of Barcelona Advocates for a Local Digital Currency https://www. cryptocoinsnews.com/mayor-of-barce lona-advocates-for-a-local-digital-currency/ … #Bitcoin pic.twitter.com/V2yuzZ8csN",,,#Bitcoin,"658070414095196160",https://twitter.com/CryptoCoinsNews/status/658070414095196160
deminc_k,2015-10-24 17:59,0,0,"#BitCoin Updated ccMiner 1.7-dev fork by tpruvot from Git for Windows:... http:// blog.coindebate.com/post/131823435 077 … pic.twitter.com/xLIudZjQpf",,,#BitCoin,"658070235132485632",https://twitter.com/deminc_k/status/658070235132485632
LionAgt,2015-10-24 17:58,0,0,"I just won free 0.00000028 BTC from http://www. fastsatoshi.org / #bitcoin #satoshi #freebitcoin #faucet via @SatoshiSkyTeam",,@SatoshiSkyTeam,#bitcoin #satoshi #freebitcoin #faucet,"658070166505435136",https://twitter.com/LionAgt/status/658070166505435136
AcjZak,2015-10-24 17:58,0,0,"Bitcoinker - collect your free satoshi every 15 minutes! http:// bitcoinker.com/faucet?ref=d35 b1261dab7 … #bitcoinker #bitcoin #faucet",,,#bitcoinker #bitcoin #faucet,"658070093042208768",https://twitter.com/AcjZak/status/658070093042208768
julia_vaingurt,2015-10-24 17:58,0,0,"Six questions to make sense of the #european court of justice decision on #bitcoin vat http:// j.mp/1LIKvC2 pic.twitter.com/zo9D2GTJSk",,,#european #bitcoin,"658070082946506752",https://twitter.com/julia_vaingurt/status/658070082946506752
bitcoinbill,2015-10-24 17:58,0,0,"The Blockchain Alliance — Crime Fighters of the Bitcoin World http:// cur.lv/rfipe #bitcoin",,,#bitcoin,"658069965715574784",https://twitter.com/bitcoinbill/status/658069965715574784
LionAgt,2015-10-24 17:57,0,0,"I just won free 0.00000018 BTC from http://www. fastsatoshi.org / #bitcoin #satoshi #freebitcoin #faucet via @SatoshiSkyTeam",,@SatoshiSkyTeam,#bitcoin #satoshi #freebitcoin #faucet,"658069784119128065",https://twitter.com/LionAgt/status/658069784119128065
