username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
SatoshiDICE,2012-12-25 16:58,0,0,"1FWwwfRt just won 16.061 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"283723407265234944",https://twitter.com/SatoshiDICE/status/283723407265234944
SatoshiDICE,2012-12-25 16:52,0,0,"1Q23zcNV just won 16.061 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"283722014462713859",https://twitter.com/SatoshiDICE/status/283722014462713859
Lehoool,2012-12-25 16:51,0,0,"Get free bitcoins for visiting websites: http:// bit.ly/WGMbY9 #bitcoin #BTC",,,#bitcoin #BTC,"283721557145157632",https://twitter.com/Lehoool/status/283721557145157632
breathingdog,2012-12-25 16:47,0,0,"#PayPal vs #Bitcoin –> https:// blockchain.info/es/wallet/payp al-vs-bitcoin …",,,#PayPal #Bitcoin,"283720644040982529",https://twitter.com/breathingdog/status/283720644040982529
MPEx1,2012-12-25 16:45,0,0,"1`837 S.MPOE @0.00064000BTC = 1.17568000BTC (= 15.62 USD). 12 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"283720138736414720",https://twitter.com/MPEx1/status/283720138736414720
amaz3in,2012-12-25 16:40,0,0,"Get free bitcoins for visiting websites: http:// bit.ly/WGMbY9 #bitcoin #BTC",,,#bitcoin #BTC,"283718771196166144",https://twitter.com/amaz3in/status/283718771196166144
MPEx1,2012-12-25 16:39,0,0,"14`750 S.MPOE @0.00064000BTC = 9.44000000BTC (= 125.46 USD). 59 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"283718702250213376",https://twitter.com/MPEx1/status/283718702250213376
ScottBensberg,2012-12-25 16:38,0,0,"Sign Up For a Free Bitcoin Wallet @http:// Blockchain.info https:// blockchain.info/wallet #tweet4btc #bitcoin #14NchR61tQUvNAM9biRfcV3rdWaKbMVw3U",,@http,#tweet4btc #bitcoin #14NchR61tQUvNAM9biRfcV3rdWaKbMVw3U,"283718478840614912",https://twitter.com/ScottBensberg/status/283718478840614912
aldomuttaqien,2012-12-25 16:37,0,1,"Get free bitcoins for visiting websites: http:// bit.ly/WGMbY9 #bitcoin #BTC",,,#bitcoin #BTC,"283718215819984896",https://twitter.com/aldomuttaqien/status/283718215819984896
MPEx1,2012-12-25 16:37,0,0,"13`250 S.MPOE @0.00064000BTC = 8.48000000BTC (= 112.70 USD). 81 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"283718019258150912",https://twitter.com/MPEx1/status/283718019258150912
