username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
bitcambios,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifragilida... http:// bit.ly/1UIm8ww #bitcoin",,,#bitcoin,"729098384288546816",https://twitter.com/bitcambios/status/729098384288546816
SatoshioBitcoin,2016-05-07 17:59,0,1,"#bitcoin #faucet #satoshi #freebitcoin @welovefaucet #Blockchain #BTC 700 satoshi Reward every 100 min http:// freecoinbox.info/?r=16j4HHvUiXX iHUh8E6bowGZpCTXZHmZJdB …",,@welovefaucet,#bitcoin #faucet #satoshi #freebitcoin #Blockchain #BTC,"729098373538709505",https://twitter.com/SatoshioBitcoin/status/729098373538709505
Namdher,2016-05-07 17:59,0,1,"#Bitcoin Lo que no mata a Bitcoin, lo hace más fuerte http:// bit.ly/24BUyao #VenezuelaBitcoiners",,,#Bitcoin #VenezuelaBitcoiners,"729098364856324096",https://twitter.com/Namdher/status/729098364856324096
FederFigueroa,2016-05-07 17:59,0,2,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098361924526080",https://twitter.com/FederFigueroa/status/729098361924526080
TopBTC,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098359940603904",https://twitter.com/TopBTC/status/729098359940603904
DcCrypto,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098357918965760",https://twitter.com/DcCrypto/status/729098357918965760
AlertaEstafaBTC,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098356471955456",https://twitter.com/AlertaEstafaBTC/status/729098356471955456
BTCfeeds,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098354366386177",https://twitter.com/BTCfeeds/status/729098354366386177
BTCinversion,2016-05-07 17:59,0,1,"Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concepto de antifrag... http:// bit.ly/1UIm8ww #Btc #Bitcoin",,,#Btc #Bitcoin,"729098352718024704",https://twitter.com/BTCinversion/status/729098352718024704
Dr_Revelador,2016-05-07 17:59,0,1,"#bitcoinenespañol Lo que no mata a Bitcoin, lo hace más fuerte: Posted in Opinión Gracias al concept... http:// cur.lv/yb66v #bitcoin",,,#bitcoinenespa #bitcoin,"729098342051905536",https://twitter.com/Dr_Revelador/status/729098342051905536
