username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
titsforbitcoin1,2014-11-14 16:59,0,2,"@charlielune Limited time offer. Until 2015 all existing models keep 100% of #Bitcoin they earn. Claim here http:// goo.gl/zO4p57",,@charlielune,#Bitcoin,"533408986717229056",https://twitter.com/titsforbitcoin1/status/533408986717229056
bitcoinagile,2014-11-14 16:59,0,1,"#Pennsylvania #gets Its #First #bitcoin ATM http:// bitcoinagile.com/2E16C3/pennsyl vania-gets-its-first-bitcoin-atm …",,,#Pennsylvania #gets #First #bitcoin,"533408981621161984",https://twitter.com/bitcoinagile/status/533408981621161984
mshapiro,2014-11-14 16:59,0,2,"Y Combinator-backed Onename raises $1.5M, open-sources its Bitcoin identity ... - VentureBeat http:// bit.ly/1tSwQOn #bitcoin",,,#bitcoin,"533408941800435712",https://twitter.com/mshapiro/status/533408941800435712
titsforbitcoin1,2014-11-14 16:59,0,2,"@ggpony Limited time offer. Until 2015 all existing models keep 100% of #Bitcoin they earn. Claim here http:// goo.gl/zO4p57",,@ggpony,#Bitcoin,"533408862586806273",https://twitter.com/titsforbitcoin1/status/533408862586806273
CryptoInfinity,2014-11-14 16:59,0,2,"Stop By & Check out Our Fast Growing Crypto Currency Community With Live Chat What Do You Have To Loose https:// cryptoinfinity.com #bitcoin",,,#bitcoin,"533408860972015616",https://twitter.com/CryptoInfinity/status/533408860972015616
CryptoInfinity,2014-11-14 16:59,0,2,"We Are The Only Crypto Currency Community With Free Live Chat Rooms, Daily Give Aways & More https:// cryptoinfinity.com/index.php #bitcoin",,,#bitcoin,"533408858811957248",https://twitter.com/CryptoInfinity/status/533408858811957248
agustupid,2014-11-14 16:59,0,2,"Sign Up For a Free Bitcoin Wallet @http:// Blockchain.info https:// blockchain.info/wallet #tweet4btc #bitcoin #19jWPSCpEmkDpeaXJ5LxBpWDyBSXeUb1ae",,@http,#tweet4btc #bitcoin #19jWPSCpEmkDpeaXJ5LxBpWDyBSXeUb1ae,"533408854793404417",https://twitter.com/agustupid/status/533408854793404417
titsforbitcoin1,2014-11-14 16:58,0,1,"@Official_jj13 Limited time offer. Until 2015 all existing models keep 100% of #Bitcoin they earn. Claim here http:// goo.gl/zO4p57",,@Official_jj13,#Bitcoin,"533408760514236417",https://twitter.com/titsforbitcoin1/status/533408760514236417
PumpingAltcoin,2014-11-14 16:58,0,1,"Thanks for the #follow #TFB @whichcrypto @PRDT_coin ! Get #free #bitcoin @http:// bit.ly/BitBLNS ! via http:// uapp.ly",,@whichcrypto @PRDT_coin @http,#follow #TFB #free #bitcoin,"533408713277583362",https://twitter.com/PumpingAltcoin/status/533408713277583362
PumpingAltcoin,2014-11-14 16:58,0,1,"Thanks for the #follow #TFB @PRDT_coin @whichcrypto ! Get #free #bitcoin @http:// bit.ly/BitBLNS ! via http:// uapp.ly",,@PRDT_coin @whichcrypto @http,#follow #TFB #free #bitcoin,"533408710127669248",https://twitter.com/PumpingAltcoin/status/533408710127669248
