username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
dailynewsr,2013-08-09 17:57,0,0,"http:// ShadowScripts.com Finally CRACKED WORKING!, #Hyipscript FULLY DECODED f.only $329.00 (1/10 copies sold) #bitcoin",,,#Hyipscript #bitcoin,"365985318538719233",https://twitter.com/dailynewsr/status/365985318538719233
cointicker,2013-08-09 17:56,2,0,"BTC:GBP Latest: Price: £67.42 #Bitcoin http:// bit.ly/1cldxuz",,,#Bitcoin,"365984994612617218",https://twitter.com/cointicker/status/365984994612617218
cointicker,2013-08-09 17:55,2,0,"BTC:EUR Latest: Price: 76.89 € #Bitcoin http:// bit.ly/13VeWyR",,,#Bitcoin,"365984795756470273",https://twitter.com/cointicker/status/365984795756470273
BitcoinViews,2013-08-09 17:55,1,0,"#bitcoin New post: Acts of Journalism with Michael Krieger http:// bitcoinviews.com/acts-of-journa lism-with-michael-krieger/ …",,,#bitcoin,"365984635475337217",https://twitter.com/BitcoinViews/status/365984635475337217
cointicker,2013-08-09 17:51,1,0,"BTC:USD Latest: Price: $102.35 #Bitcoin http:// goo.gl/fb/xoCnW",,,#Bitcoin,"365983683473182721",https://twitter.com/cointicker/status/365983683473182721
mynegosentro,2013-08-09 17:50,0,1,"Bitcoin: Is the Post-Bubble Decline Over? http:// ow.ly/nG6Eb #bitcoin #bitcoins #ecommerce #virtualcurrency",,,#bitcoin #bitcoins #ecommerce #virtualcurrency,"365983504388980738",https://twitter.com/mynegosentro/status/365983504388980738
bnievera,2013-08-09 17:50,0,1,"Bitcoin: Is the Post-Bubble Decline Over? http:// ow.ly/nG6E3 #bitcoin #bitcoins #ecommerce #virtualcurrency",,,#bitcoin #bitcoins #ecommerce #virtualcurrency,"365983504237998080",https://twitter.com/bnievera/status/365983504237998080
nievera,2013-08-09 17:50,0,1,"Bitcoin: Is the Post-Bubble Decline Over? http:// ow.ly/nG6Eg #bitcoin #bitcoins #ecommerce #virtualcurrency",,,#bitcoin #bitcoins #ecommerce #virtualcurrency,"365983504200253440",https://twitter.com/nievera/status/365983504200253440
digievangelist,2013-08-09 17:50,0,1,"Bitcoin: Is the Post-Bubble Decline Over? http:// ow.ly/nG6E9 #bitcoin #bitcoins #ecommerce #virtualcurrency",,,#bitcoin #bitcoins #ecommerce #virtualcurrency,"365983504107962368",https://twitter.com/digievangelist/status/365983504107962368
agentsentral,2013-08-09 17:50,0,1,"Bitcoin: Is the Post-Bubble Decline Over? http:// ow.ly/nG6DQ #bitcoin #bitcoins #ecommerce #virtualcurrency",,,#bitcoin #bitcoins #ecommerce #virtualcurrency,"365983485715951618",https://twitter.com/agentsentral/status/365983485715951618
