username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
BitcoinViews,2015-01-31 16:59,2,0,"#bitcoin #btc New Post - Unique Bitcoin scam targets Connecticut residents, asks for money to protect family - http:// bit.ly/1DiRm1h",,,#bitcoin #btc,"561675288900157440",https://twitter.com/BitcoinViews/status/561675288900157440
BitcoinNooz,2015-01-31 16:59,3,2,"A Friendly Reminder: Bitcoin Is Not Anonymous http:// dlvr.it/8KxbvN - #bitcoin",,,#bitcoin,"561675202547838976",https://twitter.com/BitcoinNooz/status/561675202547838976
BitcoinNooz,2015-01-31 16:59,0,1,"XCoinCall Interview http:// dlvr.it/8Kxbs4 - #bitcoin",,,#bitcoin,"561675199842508801",https://twitter.com/BitcoinNooz/status/561675199842508801
BitcoinNooz,2015-01-31 16:59,0,1,"Bitcoin Barely Changed, Gemini Waits for BitLicense http:// dlvr.it/8KxdfC - #bitcoin",,,#bitcoin,"561675197179113474",https://twitter.com/BitcoinNooz/status/561675197179113474
CoinGateway,2015-01-31 16:58,3,4,"CoinGateway V2 is up and running! #bitcoin https:// coingateway.net/announcement.p hp … Instant Coin > Coin Trading!",,,#bitcoin,"561674992073859072",https://twitter.com/CoinGateway/status/561674992073859072
VoiceAndExit,2015-01-31 16:58,1,3,"5 Reasons the #Blockchain will Deliver Friendly AI http:// buff.ly/1HAa1w8 (via @CoinTelegraph ) #Bitcoin #ai pic.twitter.com/sr0B2YulxC",,@CoinTelegraph,#Blockchain #Bitcoin #ai,"561674799534309377",https://twitter.com/VoiceAndExit/status/561674799534309377
firstspacebank,2015-01-31 16:57,3,6,"#bitcoin explained: A great intro https://www. youtube.com/watch?v=cFj72h rUZt4 … #blockchain #Cryptocurrency #cryptoecon #fintech",,,#bitcoin #blockchain #Cryptocurrency #cryptoecon #fintech,"561674722673709056",https://twitter.com/firstspacebank/status/561674722673709056
ohiobitcoin,2015-01-31 16:56,0,1,"Bank Suspends Polish Bitcoin Exchange's Accounts http:// bit.ly/1KgRnFC #bitcoin",,,#bitcoin,"561674523171622913",https://twitter.com/ohiobitcoin/status/561674523171622913
Anthonyhead13,2015-01-31 16:55,0,0,"RT BitcoinzWoman: #coinbase ’s #bitcoin #exchange is operating without license in #nyc and #california … http:// goo.gl/8mCQ6Q",,,#coinbase #bitcoin #exchange #nyc #california,"561674268040511488",https://twitter.com/Anthonyhead13/status/561674268040511488
BuySellBitcoinR,2015-01-31 16:55,0,0,"buysellbitco.in #bitcoin price in INR, Buy : 13873.00 INR Sell : 13405.00 INR. Buy and sell bitcoin in #India using #buysellbitcoin",,,#bitcoin #India #buysellbitcoin,"561674088888799232",https://twitter.com/BuySellBitcoinR/status/561674088888799232
