username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TBakers,2015-03-29 17:59,0,0,"My robot is level 7 and I've earned a total of 184,829 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331399530631168",https://twitter.com/TBakers/status/582331399530631168
Scott_winB,2015-03-29 17:59,0,0,"My robot is level 11 and I've earned a total of 1,050,290 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331349941387264",https://twitter.com/Scott_winB/status/582331349941387264
kgd1974,2015-03-29 17:59,1,0,"Have you entered to win 0.01 #Bitcoin yet? Here's your chance! http:// bunnieleigh.com/4/post/2015/03 /giveaway-time-01-bitcoin-is-upfor-grabs-btc.html … #free to enter and #freebitcoin #giveaway",,,#Bitcoin #free #freebitcoin #giveaway,"582331268462817280",https://twitter.com/kgd1974/status/582331268462817280
bitcoinvalue,2015-03-29 17:59,2,0,"BTC/USD #Bitcoin volume surging 20% in last 3 hrs. Volume was 1.3M USD. Now at 1.6M. http:// bitcoinbnk.com/market/BTC/USD /bitstamp …",,,#Bitcoin,"582331268156796929",https://twitter.com/bitcoinvalue/status/582331268156796929
mi_kayu,2015-03-29 17:59,0,0,"My robot is level 9 and I've earned a total of 706,140 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331204789100545",https://twitter.com/mi_kayu/status/582331204789100545
AlekseiGoroski,2015-03-29 17:59,0,0,"My robot is level 7 and I've earned a total of 269,161 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331178755194880",https://twitter.com/AlekseiGoroski/status/582331178755194880
CoinfeedIO,2015-03-29 17:59,1,0,"#Bitcoin Trading Into Advance Or Correction? - #Crypto CoinsNews http:// tinyurl.com/nsuuk7c",,,#Bitcoin #Crypto,"582331158035333120",https://twitter.com/CoinfeedIO/status/582331158035333120
ganayamasdinero,2015-03-29 17:58,1,0,"My robot is level 3 and I've earned a total of 12,725 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331126464794624",https://twitter.com/ganayamasdinero/status/582331126464794624
rafael_satoshi,2015-03-29 17:58,0,0,"My robot is level 10 and I've earned a total offesf796,058 free satoshis! http:// robotcoingame.com #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"582331115152773120",https://twitter.com/rafael_satoshi/status/582331115152773120
FortuneBitXBit,2015-03-29 17:58,0,0,"Ibm plans to use #bitcoin ’s #blockchain technology to create new payments system… http:// dlvr.it/99SHDD #bitXbit pic.twitter.com/hhe5mK5mqS",,,#bitcoin #blockchain #bitXbit,"582331079610089472",https://twitter.com/FortuneBitXBit/status/582331079610089472
