username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
bradmillscan,2017-02-06 16:59,0,1,"@AmeerRosic 's message for blockchain entrepreneurs at the #TorontoBitcoinMeetup = solve the low hanging fruit problems. #bitcoin pic.twitter.com/PXgfFjwogY",,@AmeerRosic,#TorontoBitcoinMeetup #bitcoin,"828755110373253121",https://twitter.com/bradmillscan/status/828755110373253121
GoldCoinJar,2017-02-06 16:59,0,0,"#Bitcoin Current bitcoin price is ฿0.00097702 BTC for $1 USD #GoldCoinJar",,,#Bitcoin #GoldCoinJar,"828754914897637376",https://twitter.com/GoldCoinJar/status/828754914897637376
UFantasyDude,2017-02-06 16:58,0,0,"I just purchased an entire wish list from Amazon and saved 20% on my first try! #bitcoin #amazon #shopping https:// purse.io/?_r=WPyihe",,,#bitcoin #amazon #shopping,"828754815429783553",https://twitter.com/UFantasyDude/status/828754815429783553
coins_kimo,2017-02-06 16:58,0,0,"#Ancient #bitcoin #6595 Netherlands 1881 One Cent coin Willem III Wilhelm You Grade WITH FREE SHIPPING http:// dlvr.it/NJYhmc pic.twitter.com/OZHQXkQBUa",,,#Ancient #bitcoin #6595,"828754806021902337",https://twitter.com/coins_kimo/status/828754806021902337
coins_kimo,2017-02-06 16:58,0,0,"#bitcoin #bargains #8574 1873 Newfoundland 1 Cent - SHARP COIN *1628 http:// dlvr.it/NJYhjV pic.twitter.com/nlTkKD8WjY",,,#bitcoin #bargains #8574,"828754798434357249",https://twitter.com/coins_kimo/status/828754798434357249
hodlhodlnews,2017-02-06 16:58,0,0,"The Hodl Index score for 02/06/2017 is: 0 http:// news.hodlhodl.com/cumulative_cha rt … #bitcoin",,,#bitcoin,"828754681404936192",https://twitter.com/hodlhodlnews/status/828754681404936192
CoreRenewal,2017-02-06 16:58,3,13,"Strong turnout at @MaRSDD for #Bitcoin #Blockchain meetup shows Toronto momentum pic.twitter.com/RLomqr4B5i",,@MaRSDD,#Bitcoin #Blockchain,"828754676862636032",https://twitter.com/CoreRenewal/status/828754676862636032
betbybitcoins,2017-02-06 16:58,0,0,"Bitcoin Exempt from UAE Central Bank's Ban on Virtual Currencies http:// dlvr.it/NJYgnz #bitcoin",,,#bitcoin,"828754671476969472",https://twitter.com/betbybitcoins/status/828754671476969472
alt_bit_coins,2017-02-06 16:57,0,0,"IRS Asks to Postpone Upcoming Hearing With Coinbase - #bitcoin News http:// bit.ly/2jVTFDU pic.twitter.com/3JpnFYSBqk",,,#bitcoin,"828754626178588674",https://twitter.com/alt_bit_coins/status/828754626178588674
alt_bit_coins,2017-02-06 16:57,0,0,"#bitcoin Exempt from UAE Central Bank's Ban on Virtual Currencies - Bitcoin Magazine - Bitcoin News #fintech #btc http:// bit.ly/2jVJPln",,,#bitcoin #fintech #btc,"828754620134535169",https://twitter.com/alt_bit_coins/status/828754620134535169
