username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
bitcoinpoet,2011-01-14 16:22,0,0,"Download free Bitcoin 0.30 Beta software 224677: Download free Bitcoin 0.3.0 Beta software 224677, Bitc... http://bit.ly/fXNDxu #bitcoin",,,#bitcoin,"26056573533028352",https://twitter.com/bitcoinpoet/status/26056573533028352
bitcoinrebate,2011-01-14 16:20,0,0,"#1: Doo-Wops & Hooligans: Doo-Wops & Hooligans Bruno Mars 14 Tage in den Top 100 (9)Neu k... http://amzn.to/dULC5l #bitcoin #rebate #de",,,#1 #bitcoin #rebate #de,"26056048448114689",https://twitter.com/bitcoinrebate/status/26056048448114689
bitcoineconomy,2011-01-14 14:43,0,0,"1 BTC = $0.39 USD, Size: 5.14M BTC, Last 24h: 0.11M BTC in 1.3K trx, Difficulty: 16.3K, Forum posts/day: 90, Nodes: 2.0K, #bitcoin",,,#bitcoin,"26031679583817728",https://twitter.com/bitcoineconomy/status/26031679583817728
bitcoinrebate,2011-01-14 13:15,0,0,"Premium Black Soft Gel Silicone Skin Case Cover for Apple iPod Touch 4G, 4th Generation, 4... http://amzn.to/dZdjiQ #bitcoin #rebate #us",,,#bitcoin #rebate #us,"26009503749111808",https://twitter.com/bitcoinrebate/status/26009503749111808
bitcoinpoet,2011-01-14 10:20,0,0,"Bitcoin it's sirius business: It's the state-of-the-art in money. It's a new form of electronic money. ... http://bit.ly/ie7LLc #bitcoin",,,#bitcoin,"25965528090677248",https://twitter.com/bitcoinpoet/status/25965528090677248
neblucy,2011-01-14 10:05,0,0,"Following a live #BitCoin chat @http://o1tv.weebly.com/ ... come check it out.",,@http,#BitCoin,"25961654621569024",https://twitter.com/neblucy/status/25961654621569024
bitcoinpoet,2011-01-14 07:55,0,0,"Bitcoin - it's sirius business., http://hubpages.com/t/1f108f #bitcoin #awesome",,,#bitcoin #awesome,"25929025339785216",https://twitter.com/bitcoinpoet/status/25929025339785216
bitcoinpoet,2011-01-14 07:19,0,0,"iCash 7.0.1 | download free soft: Bitcoin is a peer-to-peer network based digital currency. Peer-to-pee... http://bit.ly/fhprZS #bitcoin",,,#bitcoin,"25920058400182272",https://twitter.com/bitcoinpoet/status/25920058400182272
bitcoinpoet,2011-01-14 04:19,0,1,"Download Java Bitcoin Client from SourceForge.net: Get Java Bitcoin Client at SourceForge.net. Fast, se... http://bit.ly/g7g0aS #bitcoin",,,#bitcoin,"25874589577904128",https://twitter.com/bitcoinpoet/status/25874589577904128
bitcoinpoet,2011-01-14 04:19,0,0,"CoinPal - Buy Bitcoins with PayPal: Bitcoin payments cannot. This makes PayPal purchases susceptible to... http://bit.ly/hEzYj7 #bitcoin",,,#bitcoin,"25874588797763584",https://twitter.com/bitcoinpoet/status/25874588797763584
