username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
proxysh,2017-01-26 16:59,0,0,"Coinbase support temporarily disabled, please use Okpay for Bitcoin #bitcoin http:// bit.ly/2juN06C",,,#bitcoin,"824768862168215553",https://twitter.com/proxysh/status/824768862168215553
freebitcointalk,2017-01-26 16:58,1,1,"Re: [ANN][Qtum] UTXO based POS Smart Contract Platform|On Coindesk… https:// goo.gl/fb/02CdYl #bitcoin #btcb0t",,,#bitcoin #btcb0t,"824768557129019393",https://twitter.com/freebitcointalk/status/824768557129019393
BitcoinTalkFeed,2017-01-26 16:58,0,1,"Re: [ANN][Qtum] UTXO based POS Smart Contract Platform|On Coindesk… https:// goo.gl/fb/NK2Hvu $ BTC #Bitcoin #News",,,#Bitcoin #News,"824768549965148160",https://twitter.com/BitcoinTalkFeed/status/824768549965148160
thatssixzs,2017-01-26 16:58,0,0,"#Bitcoin Campbell Wade is now in the know. https:// twitter.com/cwade1977 Reply with your Bitcoin Address for tips! 3 January 26, 2017 at 05:…",,,#Bitcoin,"824768451780673538",https://twitter.com/thatssixzs/status/824768451780673538
AlertCoin,2017-01-26 16:58,0,0,"#Bitcoin last trade @bitfinex $915.10 @btcecom $899.58 Set #crypto #price #alerts at http:// AlertCo.in",,@bitfinex @btcecom,#Bitcoin #crypto #price #alerts,"824768446349058048",https://twitter.com/AlertCoin/status/824768446349058048
AlertCoin,2017-01-26 16:58,0,0,"#Bitcoin last trade @bitstamp $914.94 @coinbase $917.00 Set #crypto #price #alerts at http:// AlertCo.in",,@bitstamp @coinbase,#Bitcoin #crypto #price #alerts,"824768446328139777",https://twitter.com/AlertCoin/status/824768446328139777
hodlhodlnews,2017-01-26 16:58,0,0,"The Hodl Index score for 01/26/2017 is: 1 http:// news.hodlhodl.com/cumulative_cha rt … #bitcoin",,,#bitcoin,"824768416254799873",https://twitter.com/hodlhodlnews/status/824768416254799873
singularitycoop,2017-01-26 16:57,0,0,"#Blockchain for #healthcare http:// bit.ly/2k7gIiL #bitcoin #bigdata #satoshi #ibm #blockstream #health #cyber",,,#Blockchain #healthcare #bitcoin #bigdata #satoshi #ibm #blockstream #health #cyber,"824768351259992065",https://twitter.com/singularitycoop/status/824768351259992065
alt_bit_coins,2017-01-26 16:57,0,0,"Re: Soccer Transfer Market 2016/2017 ! http:// ift.tt/2kyJxpf http:// bit.ly/hlpscn #bitcoin https://twitter.com/HELPSCOIN/status/824767296866545664/photo/1 pic.twitter.com/Wj0MtW5o5q",,,#bitcoin,"824768181369786369",https://twitter.com/alt_bit_coins/status/824768181369786369
alt_bit_coins,2017-01-26 16:57,0,0,"Re: like my FB for 2000 satoshis http:// ift.tt/2kyHaTA http:// bit.ly/hlpscn #bitcoin https://twitter.com/HELPSCOIN/status/824767281498615812/photo/1 pic.twitter.com/O7vUdTqM1D",,,#bitcoin,"824768179872333824",https://twitter.com/alt_bit_coins/status/824768179872333824
