username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
matshenricson,2011-01-11 15:45,1,0,"Wow, a #bitcoin client written in JavaScript! http://tcatm.github.com/bitcoin-js-remote/index.html",,,#bitcoin,"24960035373191168",https://twitter.com/matshenricson/status/24960035373191168
bitcoineconomy,2011-01-11 15:00,0,0,"1 BTC = $0.33 USD, Size: 5.11M BTC, Last 24h: 0.11M BTC in 1.3K trx, Difficulty: 16.3K, Forum posts/day: 89, Nodes: 1.5K, #bitcoin",,,#bitcoin,"24948777286631425",https://twitter.com/bitcoineconomy/status/24948777286631425
rose_swe,2011-01-11 14:35,0,0,"Has anyone tested/transferred yet money with bitcoin? #Bitcoin is a peer-to-peer digital currency. http://www.bitcoin.org/",,,#Bitcoin,"24942496022790144",https://twitter.com/rose_swe/status/24942496022790144
bitcoinpoet,2011-01-11 13:04,1,0,"Wikileaks Bitcoin | American News Now: Bitcoin is a digital currency created in 2009 by Satoshi Nakamot... http://bit.ly/gIXvOQ #bitcoin",,,#bitcoin,"24919565964156928",https://twitter.com/bitcoinpoet/status/24919565964156928
bitcoinpoet,2011-01-11 10:01,1,0,"Bitcoin ImmortalTechniquecouk: Has anyone here heard of bitcoin? For those that dont know "Bitcoin is a... http://bit.ly/fckelV #bitcoin",,,#bitcoin,"24873545855148032",https://twitter.com/bitcoinpoet/status/24873545855148032
obinine,2011-01-11 09:42,0,0,"RT @bitcoinmedia Bitcoin Money: Bitcoin is simply a combination of proven technologies that when assembled... http://bit.ly/fM1277 #bitcoin",,@bitcoinmedia,#bitcoin,"24868752508063745",https://twitter.com/obinine/status/24868752508063745
bitcoinpoet,2011-01-11 06:59,0,0,"UK Indymedia Bitcoin P2P Virtual Currency: Bitcoin is a peertopeer digital currency PeertopeerP2P means... http://bit.ly/h2Rg5r #bitcoin",,,#bitcoin,"24827808337367040",https://twitter.com/bitcoinpoet/status/24827808337367040
bitcoinpoet,2011-01-11 06:59,0,0,"bitcoin-js-remote: bitcoin-js-remote is a user interface for Bitcoin written in JavaScript. It works in... http://bit.ly/eczu71 #bitcoin",,,#bitcoin,"24827807288786944",https://twitter.com/bitcoinpoet/status/24827807288786944
bitcoinpoet,2011-01-11 06:59,0,0,"User account | Bitcoin Bonus: Welcome to Bitcoin Bonus! Please register to gain access to see the bonus... http://bit.ly/fVAatM #bitcoin",,,#bitcoin,"24827804818341888",https://twitter.com/bitcoinpoet/status/24827804818341888
bitcoinpoet,2011-01-11 06:59,0,0,"Bitcoin Money: Bitcoin is simply a combination of proven technologies that when assembled this certain ... http://bit.ly/fM1277 #bitcoin",,,#bitcoin,"24827803702665216",https://twitter.com/bitcoinpoet/status/24827803702665216
