username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
infobitcoin,2013-01-23 16:59,0,0,"Looking for web developer - payment in BTC: An investor and I are starting up a website, and need a web... http:// bit.ly/10KCNEm #bitcoin",,,#bitcoin,"294232875790901248",https://twitter.com/infobitcoin/status/294232875790901248
MPEx1,2013-01-23 16:55,0,0,"17`800 S.MPOE @0.00061119BTC = 10.87918200BTC (= 186.90 USD). 77 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"294231822999642113",https://twitter.com/MPEx1/status/294231822999642113
Lightrider,2013-01-23 16:52,0,0,"So is @gogreensolar going to accept payments in #bitcoin now?",,@gogreensolar,#bitcoin,"294231184936951809",https://twitter.com/Lightrider/status/294231184936951809
BTCtweetzer,2013-01-23 16:51,0,0,"Looking for web developer - payment in BTC http:// q.gs/3JrKa #bitcoin",,,#bitcoin,"294230947811966976",https://twitter.com/BTCtweetzer/status/294230947811966976
pokerfusepro,2013-01-23 16:46,0,0,"Bitcoin-funded online casino turned a $572,000 profit after six months of operation: http://www. theverge.com/2013/1/23/3906 910/bitcoin-online-casino-turned-a-572000-profit-after-six-months … #bitcoin",,,#bitcoin,"294229686073061377",https://twitter.com/pokerfusepro/status/294229686073061377
MPEx1,2013-01-23 16:46,0,0,"267 S.DICE @0.00585288BTC = 1.56271896BTC (= 26.85 USD). 91 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"294229586579976193",https://twitter.com/MPEx1/status/294229586579976193
pokerfusepro,2013-01-23 16:46,0,0,"Bitcoin Casinos Release 2012 Earnings: http://www. forbes.com/sites/jonmaton is/2013/01/22/bitcoin-casinos-release-2012-earnings/ … #bitcoin",,,#bitcoin,"294229561628057600",https://twitter.com/pokerfusepro/status/294229561628057600
SatoshiDICE,2013-01-23 16:45,0,0,"1EP4rM8h just won 100.384 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"294229355285082113",https://twitter.com/SatoshiDICE/status/294229355285082113
SatoshiDICE,2013-01-23 16:45,0,0,"1B5h9sf6 just won 350.019 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"294229292483756032",https://twitter.com/SatoshiDICE/status/294229292483756032
SatoshiDICE,2013-01-23 16:44,0,0,"1EP4rM8h just won 95.700 Bitcoins at http:// SatoshiDice.com ! #winning #casino #gambling #bitcoin",,,#winning #casino #gambling #bitcoin,"294229213832175616",https://twitter.com/SatoshiDICE/status/294229213832175616
