username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
bitcoindunyasi,2014-04-27 17:59,1,0,"BTCTurk 939.41 TL Koinim 975 TL CampBx 449.99 $ BTCe 427 $ BitStamp 436.50 $ SCounter 12248.1127 #Bitcoin #btc http:// bitcoindunyasi.com",,,#Bitcoin #btc,"460569031691730944",https://twitter.com/bitcoindunyasi/status/460569031691730944
GiveitAwayGuru,2014-04-27 17:56,0,0,"Easy way to find out about new age money. http:// goo.gl/W15k4o #bitcoin",,,#bitcoin,"460568201785782272",https://twitter.com/GiveitAwayGuru/status/460568201785782272
sovbtc,2014-04-27 17:55,2,2,"@sovbtc #13 all about #bitcoin mining! In to the Mines 2 & intvw w/ Steven Wilkinson @BitcoinAustin @LetsTalkBitcoin http:// soundcloud.com/mindtomatter/s overeignbtc-13-all-about …",,@sovbtc @BitcoinAustin @LetsTalkBitcoin,#13 #bitcoin,"460568047271415808",https://twitter.com/sovbtc/status/460568047271415808
BuySellBitcoinR,2014-04-27 17:55,1,0,"buysellbitco.in #bitcoin price in INR, Buy : 27157.00 INR Sell : 26219.00 INR. Buy and sell bitcoin in #India using #buysellbitcoin",,,#bitcoin #India #buysellbitcoin,"460567844246130690",https://twitter.com/BuySellBitcoinR/status/460567844246130690
hourlybtcvalue,2014-04-27 17:55,0,0,"The current BTC ( #bitcoin ) value in USD is $437.68",,,#bitcoin,"460567834473791488",https://twitter.com/hourlybtcvalue/status/460567834473791488
psbitcoin,2014-04-27 17:55,0,0,"Bitfinex Prices LAST: $437.00 BID: $437.77 ASK: $438.93 VOL: 6647.02 BTC #bitcoin #bitfinex",,,#bitcoin #bitfinex,"460567829973311488",https://twitter.com/psbitcoin/status/460567829973311488
bozhida4,2014-04-27 17:54,0,0,"'The Other Woman' Tops 'Captain America' At Weekend Box Office http:// pack.li/43j #money #dogecoin #bitcoin #news , #love , #photogra ...",,,#money #dogecoin #bitcoin #news #love #photogra,"460567783504617472",https://twitter.com/bozhida4/status/460567783504617472
bozhida4,2014-04-27 17:54,0,0,"This 'What You're Like Drunk Vs. Sober' Video Is Sadly On Point http:// pack.li/43j #money #dogecoin #bitcoin #news , #love , #photogr ...",,,#money #dogecoin #bitcoin #news #love #photogr,"460567781763973120",https://twitter.com/bozhida4/status/460567781763973120
bozhida4,2014-04-27 17:54,0,0,"What is the Downtown Podcast? An interview with Dylan Jorgensen http:// pack.li/43j #money #dogecoin #bitcoin #news , #love , #photogr ...",,,#money #dogecoin #bitcoin #news #love #photogr,"460567779708784640",https://twitter.com/bozhida4/status/460567779708784640
TheRealDogecoin,2014-04-27 17:54,0,1,"'The Other Woman' Tops 'Captain America' At Weekend Box Office http:// lin.io/Dd9p #money #dogecoin #bitcoin #news , #love , #photogra ...",,,#money #dogecoin #bitcoin #news #love #photogra,"460567700670922752",https://twitter.com/TheRealDogecoin/status/460567700670922752
