username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
BitPiggy,2012-11-28 16:58,0,0,"Woke up to Happy Halving Day for #bitcoin . Congrats bitcoin community! See the fireworks: http:// blockchain.info/block-index/32 2335/000000000000048b95347e83192f69cf0366076336c639f9b7228e9ba171342e …",,,#bitcoin,"273938886399508481",https://twitter.com/BitPiggy/status/273938886399508481
MPEx1,2012-11-28 16:54,0,0,"27`405 S.MPOE @0.00052702BTC = 14.44298310BTC (= 176.93 USD). 34 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273938024054792192",https://twitter.com/MPEx1/status/273938024054792192
MPEx1,2012-11-28 16:54,0,0,"2`345 S.MPOE @0.00052704BTC = 1.23590880BTC (= 15.14 USD). 2 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273938021693419520",https://twitter.com/MPEx1/status/273938021693419520
node10,2012-11-28 16:49,0,0,"Sign Up For a Free Bitcoin Wallet @http:// Blockchain.info https:// blockchain.info/wallet #tweet4btc #bitcoin #1rpccobZ9hDbjKFswZQmjdoJTTVFwdCvt",,@http,#tweet4btc #bitcoin #1rpccobZ9hDbjKFswZQmjdoJTTVFwdCvt,"273936561270308865",https://twitter.com/node10/status/273936561270308865
bitcointrading,2012-11-28 16:47,0,0,"WTF is this? Mt.Gox founder starting his own Bitcoin-clone system?? http:// bit.ly/TuEtg2 #bitcoin #trading #BTC #buysell #forum #official",,,#bitcoin #trading #BTC #buysell #forum #official,"273936270944780288",https://twitter.com/bitcointrading/status/273936270944780288
MPEx1,2012-11-28 16:44,0,0,"4`355 S.MPOE @0.00052462BTC = 2.28472010BTC (= 27.99 USD). 45 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273935523209416705",https://twitter.com/MPEx1/status/273935523209416705
MPEx1,2012-11-28 16:44,0,0,"2`345 S.MPOE @0.00052466BTC = 1.23032770BTC (= 15.07 USD). 57 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273935521636548608",https://twitter.com/MPEx1/status/273935521636548608
RoyIvyIII,2012-11-28 16:44,0,0,"Sign Up For a Free Bitcoin Wallet @http:// Blockchain.info https:// blockchain.info/wallet #tweet4btc #bitcoin #1G4nXJNRqXTDiwt33CHQWUugmNMJaoEW7P",,@http,#tweet4btc #bitcoin #1G4nXJNRqXTDiwt33CHQWUugmNMJaoEW7P,"273935311648747521",https://twitter.com/RoyIvyIII/status/273935311648747521
MPEx1,2012-11-28 16:39,0,0,"17`212 S.MPOE @0.00053537BTC = 9.21478844BTC (= 112.88 USD). 85 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273934104469336065",https://twitter.com/MPEx1/status/273934104469336065
MPEx1,2012-11-28 16:39,0,0,"13`643 S.MPOE @0.00053520BTC = 7.30173360BTC (= 89.45 USD). 19 #trade #bitcoin #btc #stocks",,@0,#trade #bitcoin #btc #stocks,"273934102481227777",https://twitter.com/MPEx1/status/273934102481227777
