username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
CashClamber,2015-06-23 17:59,0,0,"Want something in return for your #bitcoin donation sponsoring our #streaker game? Premium Advertising? http:// goo.gl/pjkE17 #rtsme",,,#bitcoin #streaker #rtsme,"613496667380256769",https://twitter.com/CashClamber/status/613496667380256769
CashClamber,2015-06-23 17:59,0,0,"gustavofring has won 0.005 bitcoins #Bitcoin #Play #Games",,,#Bitcoin #Play #Games,"613496646152884224",https://twitter.com/CashClamber/status/613496646152884224
trollmone,2015-06-23 17:59,0,0,"I attacked Robot-lvl 1, and I've earned a total of 68,770 free satoshis! http://www. robotcoingame.com/?id=19bgFEUP84 H7F5e5zFpmzJTGRZUAg7yaTw … #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"613496548752801792",https://twitter.com/trollmone/status/613496548752801792
CoinfeedIO,2015-06-23 17:59,0,1,"Leading Silicon Valley VC Firm Shifts its Focus Toward #Bitcoin - Bitcoi... http:// tinyurl.com/nwbv7ou",,,#Bitcoin,"613496512908275713",https://twitter.com/CoinfeedIO/status/613496512908275713
Unocoinprice,2015-06-23 17:59,0,0,"#Unocoin #Bitcoin rates: Buy @15828 INR | Sell @15353 INR #India #Bitcoins #IndiaBitcoin",,@15828 @15353,#Unocoin #Bitcoin #India #Bitcoins #IndiaBitcoin,"613496507170340864",https://twitter.com/Unocoinprice/status/613496507170340864
ed_leigh,2015-06-23 17:58,0,1,"Why did #banks change their mind about #bitcoin ? #FinTech #CryptoCurrency http:// banknxt.com/51686/banks-bi tcoin/ …",,,#banks #bitcoin #FinTech #CryptoCurrency,"613496413310185472",https://twitter.com/ed_leigh/status/613496413310185472
hexik2,2015-06-23 17:57,0,0,"I attacked Robot-lvl 11, and I've earned a total of 2,043,399 free satoshis! http://www. robotcoingame.com/?id=1HJbKo9Dp9 AJUoiYXX2jiMnqxVvZuHZR5 … #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"613496104995450881",https://twitter.com/hexik2/status/613496104995450881
DukeFlee,2015-06-23 17:57,0,0,"I attacked Robot-lvl 10, and I've earned a total of 1,660,645 free satoshis! http://www. robotcoingame.com/?id=3MeXqdXiTA 37JyddQuMqPsZPhma5cwD3gz … #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,"613496078357372929",https://twitter.com/DukeFlee/status/613496078357372929
bitcoinsnews247,2015-06-23 17:57,0,0,"#bit #crypto #coins HyperLedger Blockchain Startup Advances in Innotribe Startup… http:// dlvr.it/BJYNnw #Bitcoin #BTC #News #USA #channel",,,#bit #crypto #coins #Bitcoin #BTC #News #USA #channel,"613496066600669184",https://twitter.com/bitcoinsnews247/status/613496066600669184
bitcoinsnews247,2015-06-23 17:57,0,0,"#bit #crypto #coins Feds Approve Bitcoin for Politics (kindof) — Winklevii ETF… http:// dlvr.it/BJYHyD #Videos ##Bitcoin #USA #channel",,,#bit #crypto #coins #Videos # #Bitcoin #USA #channel,"613496064780271616",https://twitter.com/bitcoinsnews247/status/613496064780271616
