username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
bitcoin_world,2011-11-22 16:54,0,0,"#bitcoin Foro español de Bitcoin http:// bit.ly/narp3e",,,#bitcoin,"139129657709699072",https://twitter.com/bitcoin_world/status/139129657709699072
brucewagner,2011-11-22 16:37,0,0,"@wdStrickler cool. Thanks. Check out #bitcoin too.",,@wdStrickler,#bitcoin,"139125466895364097",https://twitter.com/brucewagner/status/139125466895364097
TradeBtcLLC,2011-11-22 15:43,0,0,"Open source #Bitcoin exchange, coming out soon! Head over to http:// bit.ly/sls3Gp to see what it will work like!",,,#Bitcoin,"139111841623314434",https://twitter.com/TradeBtcLLC/status/139111841623314434
Liberationtech,2011-11-22 15:30,5,5,"Bitcoin for beginners, Part 1: The economics & use of Bitcoins http:// dia.so/1i5 #alternativecurrency #bitcoin #money #howto",,,#alternativecurrency #bitcoin #money #howto,"139108409239797761",https://twitter.com/Liberationtech/status/139108409239797761
zdenekmachek,2011-11-22 15:25,0,0,"#bitcoin is a scam :-(",,,#bitcoin,"139107187522936833",https://twitter.com/zdenekmachek/status/139107187522936833
pokerfuse,2011-11-22 15:19,0,0,"@InfiniteEdgeKim If "first real-money pokerroom" means first that accepts real $ deposits alongside #bitcoin , claim seems accurate.",,@InfiniteEdgeKim,#bitcoin,"139105838685097984",https://twitter.com/pokerfuse/status/139105838685097984
BitcoinWatch,2011-11-22 15:00,0,0,"Bitcoin prices @VirWoX : USD: 2.35/2.56, EUR: 1.78/1.90, GBP: 1.51/1.66, CHF: 2.25/2.46, SLL: 631/666 http:// bit.ly/Bitcoin #bitcoin",,@VirWoX,#bitcoin,"139100852915937281",https://twitter.com/BitcoinWatch/status/139100852915937281
InfiniteEdgeKim,2011-11-22 14:57,0,0,"@pokernewsdaily another company that claims to be first with something they aren't first with. #bitcoin #pokerroom",,@pokernewsdaily,#bitcoin #pokerroom,"139100311649386497",https://twitter.com/InfiniteEdgeKim/status/139100311649386497
bitcoinsonebay,2011-11-22 14:27,0,0,"Sapphire HD 5970 Graphics Card http:// goo.gl/fb/ntk40 #bitcoin",,,#bitcoin,"139092701822984192",https://twitter.com/bitcoinsonebay/status/139092701822984192
BitCoinReporter,2011-11-22 14:05,3,0,"First Real Money Poker Site is Accepting Bitcoins http:// bit.ly/ugMSfL #bitcoin",,,#bitcoin,"139087065404014592",https://twitter.com/BitCoinReporter/status/139087065404014592
