3,0
4,1
0,0
4,3
5,1
0,1
5,0
2,0
6,0
1,2
4,0
3,3
11,2
2,2
3,0
3,1
2,0
1,0
4,1
5,0
4,3
4,5
3,1
2,6
3,1
2,0
3,0
5,1
2,0
0,2
2,0
6,1
11,2
3,1
3,2
3,1
2,2
4,1
2,1
12,1
10,8
14,2
5,1
9,0
10,0
8,1
4,2
6,1
2,3
4,1
2,1
3,3
2,2
3,2
5,2
5,1
2,2
8,1
6,3
7,1
2,0
4,0
6,3
3,1
7,1
10,1
4,0
4,4
3,0
3,0
6,3
3,2
1,0
3,2
2,0
3,2
4,1
2,0
2,2
11,5
5,0
13,6
12,4
7,4
2,0
4,0
6,1
8,0
5,0
5,0
4,1
3,1
4,2
7,1
2,1
9,2
7,2
2,1
5,2
7,2
13,2
10,1
9,3
5,0
6,1
19,6
12,3
9,2
8,2
7,5
13,4
8,2
17,5
12,8
14,6
9,3
10,8
16,4
22,5
21,11
14,9
9,3
7,5
11,4
14,4
13,3
13,8
16,9
17,16
22,11
24,8
25,7
30,12
17,9
20,10
26,12
41,18
33,18
24,19
24,8
26,16
23,11
21,11
32,13
24,14
24,9
27,9
21,11
29,10
30,8
18,19
16,9
20,24
36,11
31,9
34,10
28,9
25,16
36,12
22,15
19,10
25,15
32,7
25,8
26,16
17,28
29,25
25,22
26,25
15,38
22,19
29,23
36,19
31,19
32,14
33,14
32,15
40,14
26,12
34,15
28,9
25,12
22,15
24,9
19,13
18,14
23,10
16,11
32,10
31,16
22,13
27,14
26,14
32,14
20,5
22,14
22,10
19,7
38,18
18,13
24,21
30,9
31,10
30,10
17,16
17,9
19,11
27,10
32,14
24,11
14,11
19,15
23,20
3,1
29,13
30,18
30,4
34,10
18,16
17,24
22,11
17,11
20,12
16,13
16,9
30,8
24,11
24,10
28,5
27,12
27,9
24,8
26,17
34,7
31,9
29,10
25,10
33,10
23,8
26,14
22,11
34,16
28,19
15,24
24,11
21,11
33,15
30,14
34,8
32,21
31,9
27,18
34,15
28,11
35,13
26,13
32,8
20,10
23,13
32,13
37,9
27,11
26,16
22,9
25,10
32,14
18,5
21,7
27,8
19,6
31,12
26,8
23,8
13,5
13,10
24,6
29,8
26,9
22,9
24,9
24,4
21,8
23,4
20,10
29,5
29,16
22,9
20,3
16,3
37,8
44,14
32,7
30,12
35,23
33,8
27,9
31,9
28,15
25,9
18,8
25,9
15,15
22,5
22,15
23,21
23,17
26,10
18,6
19,11
14,3
25,7
26,10
13,6
16,3
19,5
21,4
24,6
13,8
22,13
12,13
28,5
22,5
19,2
16,6
12,4
28,7
24,5
27,7
23,7
25,9
39,11
37,11
29,11
31,7
26,5
29,4
30,1
17,1
11,6
31,9
35,5
29,11
25,6
20,9
34,6
17,6
23,11
24,3
30,3
17,6
20,6
24,5
29,10
36,9
31,14
21,12
24,15
18,10
16,11
21,6
20,6
16,12
27,8
26,9
24,12
22,10
25,10
24,7
31,13
31,12
27,13
20,8
23,9
36,4
30,7
38,3
37,10
38,3
36,7
46,1
49,10
51,11
37,12
34,17
25,4
20,7
32,10
38,4
29,12
22,8
21,5
29,5
26,6
26,8
27,12
25,8
33,7
23,14
28,8
40,11
27,14
21,16
25,8
21,4
25,13
22,7
20,10
23,13
20,16
20,12
21,14
22,13
23,14
24,15
22,15
19,12
21,17
31,5
26,11
26,17
18,13
23,8
20,11
22,10
28,13
24,14
31,15
27,16
25,14
30,17
22,8
30,10
25,16
37,8
28,8
34,10
24,6
27,13
21,12
25,10
16,16
14,8
21,12
25,9
18,14
31,12
36,5
19,8
28,9
20,7
22,6
21,11
19,6
21,13
25,8
24,4
28,10
29,13
24,5
31,5
17,9
24,11
21,6
20,10
18,8
29,10
33,12
28,8
30,12
40,6
38,6
35,12
29,10
26,13
29,13
25,15
27,7
35,8
27,6
30,7
21,8
25,7
29,11
25,5
32,6
27,7
36,5
27,9
31,7
34,7
30,6
34,1
31,7
24,4
26,20
28,24
34,11
30,11
26,23
30,9
29,5
30,12
32,8
30,3
32,7
31,15
32,8
33,8
28,10
37,12
39,13
35,7
47,8
34,6
34,5
30,12
29,9
41,6
40,8
34,3
39,4
36,6
44,6
31,7
33,8
35,6
27,7
44,4
43,2
46,7
37,9
38,6
36,7
33,8
42,6
42,7
30,10
36,10
33,7
36,9
28,4
34,9
34,11
41,12
33,12
36,8
37,6
42,11
47,9
33,14
44,8
41,7
42,8
48,14
34,16
29,11
32,9
41,7
38,11
46,7
38,9
34,3
29,12
38,6
22,10
41,5
37,6
38,5
32,3
35,7
30,9
32,9
30,11
40,9
28,5
20,13
24,10
22,12
22,6
21,11
21,4
23,5
27,6
26,7
29,6
26,11
33,8
33,11
32,8
34,10
28,10
33,4
36,8
41,10
38,9
40,9
34,9
45,4
35,8
36,9
37,5
38,8
42,7
