"date","close","volume","open","high","low"
"2015/07/20","31.7200","3456237.0000","31.9600","31.9800","31.6700"
"2015/07/17","31.8500","5402172.0000","32.1300","32.2100","31.4700"
"2015/07/16","32.3000","5193247.0000","32.7000","32.7500","32.1700"
"2015/07/15","32.5800","7505575.0000","33.2200","33.3100","32.5100"
"2015/07/14","33.4300","4613620.0000","33.5000","33.8400","33.4000"
"2015/07/13","33.3400","6548781.0000","33.7200","33.8600","33.0000"
"2015/07/10","33.3800","3031855.0000","33.0400","33.4600","32.7200"
"2015/07/09","33.0800","5615206.0000","33.3000","33.5500","32.8900"
"2015/07/08","32.9000","5061495.0000","33.8500","34.3000","32.8500"
"2015/07/07","34.1600","4987149.0000","34.1500","34.3350","33.3100"
"2015/07/06","34.0900","4708899.0000","34.8200","35.0200","33.9400"
"2015/07/02","35.0000","1988883.0000","35.1700","35.4850","34.8500"
"2015/07/01","35.1300","2921490.0000","34.9400","35.1900","34.6700"
"2015/06/30","34.6100","3929575.0000","35.1500","35.3200","34.4000"
"2015/06/29","34.9900","2635862.0000","35.8100","35.9800","34.9400"
"2015/06/26","36.1200","5914974.0000","35.8600","36.2100","35.7000"
"2015/06/25","35.7100","2373003.0000","36.1700","36.1899","35.6250"
"2015/06/24","36.1000","2622400.0000","36.3000","36.7550","36.0200"
"2015/06/23","36.2300","2436570.0000","36.1300","36.4300","36.0400"
"2015/06/22","36.1400","3102571.0000","36.0400","36.3400","35.8750"
"2015/06/19","35.9100","4903975.0000","35.8000","36.1700","35.7000"
"2015/06/18","35.8000","4172883.0000","35.3800","35.8400","35.3520"
"2015/06/17","35.3300","2368296.0000","35.1000","35.6801","35.0500"
"2015/06/16","35.1800","1903949.0000","35.0000","35.3200","34.9200"
"2015/06/15","35.0500","3387095.0000","34.9000","35.1650","34.7600"
"2015/06/12","35.1200","1840486.0000","34.9100","35.1600","34.8300"
"2015/06/11","35.0700","2919127.0000","35.2900","35.4750","34.9500"
"2015/06/10","35.2300","3939199.0000","35.4400","35.7050","35.1500"
"2015/06/09","35.2800","2194021.0000","35.2100","35.5400","35.2100"
"2015/06/08","35.4100","2936704.0000","35.6500","35.9050","35.3500"
"2015/06/05","35.8000","2389321.0000","35.7300","36.0400","35.7200"
"2015/06/04","35.6300","1815436.0000","35.5200","36.0500","35.4100"
"2015/06/03","35.8700","2248381.0000","35.6000","36.0300","35.5000"
"2015/06/02","35.8400","3036773.0000","35.8400","36.3800","35.7700"
"2015/06/01","35.8100","3953962.0000","35.4500","35.9900","35.2300"
"2015/05/29","35.3700","4164960.0000","35.1900","35.6000","35.0200"
"2015/05/28","35.1900","4714074.0000","35.3500","35.5300","35.0300"
"2015/05/27","35.3600","13241340.0000","34.5000","35.5900","34.0000"
"2015/05/26","36.5600","4395319.0000","37.2700","37.2700","36.3110"
"2015/05/22","37.5300","2603725.0000","38.0800","38.2400","37.5050"
"2015/05/21","38.0800","4431509.0000","37.3200","38.1700","37.3000"
"2015/05/20","37.3200","3607072.0000","37.4200","37.6200","37.1100"
"2015/05/19","37.3800","4693423.0000","37.7700","38.0600","37.2800"
"2015/05/18","37.6100","2248022.0000","37.6000","37.7950","37.4600"
"2015/05/15","37.4600","3569135.0000","37.8700","37.8800","37.3700"
"2015/05/14","37.7600","3900619.0000","38.2600","38.3800","37.4400"
"2015/05/13","38.1300","2677841.0000","38.1400","38.4200","37.8500"
"2015/05/12","38.3100","1411329.0000","38.1500","38.5500","37.9900"
"2015/05/11","38.4200","2070533.0000","38.4600","38.8800","38.3404"
"2015/05/08","38.4600","2360059.0000","38.9400","39.1200","38.3250"
"2015/05/07","38.3500","2538018.0000","38.1500","38.4500","37.9500"
"2015/05/06","37.9700","2394057.0000","38.0500","38.1300","37.4700"
"2015/05/05","38.0700","2745472.0000","38.0000","38.3100","37.8700"
"2015/05/04","38.1700","3561653.0000","38.0000","38.3100","37.9300"
"2015/05/01","37.8700","4859584.0000","38.2500","38.3800","37.6600"
"2015/04/30","38.2100","6388546.0000","38.3200","38.7800","37.8300"
"2015/04/29","38.5100","8311973.0000","39.0700","39.0900","38.0600"
"2015/04/28","39.6500","17606280.0000","39.5200","40.6400","38.6000"
"2015/04/27","42.3300","6511295.0000","42.9400","43.4500","42.2350"
"2015/04/24","42.6500","2398987.0000","42.5000","42.7500","42.1100"
"2015/04/23","42.3700","3716941.0000","41.4900","42.8750","41.4900"
"2015/04/22","41.5900","2782888.0000","41.3500","41.7400","41.2200"
"2015/04/21","41.4900","3782564.0000","41.8900","42.1900","41.1500"
"2015/04/20","42.5400","2132260.0000","42.5200","42.7900","42.3400"
"2015/04/17","42.4000","3405401.0000","42.7300","42.9400","41.7000"
"2015/04/16","43.0100","5838901.0000","42.2800","43.3400","42.2700"
"2015/04/15","41.7600","2243212.0000","42.1500","42.3100","41.7400"
"2015/04/14","42.0400","2029105.0000","42.3500","42.3800","41.8700"
"2015/04/13","42.4900","2281285.0000","42.9000","43.1300","42.2700"
"2015/04/10","43.0300","1472416.0000","43.0200","43.2100","42.8800"
"2015/04/09","43.0000","2382913.0000","42.8700","43.0915","42.3900"
"2015/04/08","42.7800","3016855.0000","42.5100","43.0600","42.3100"
"2015/04/07","42.3600","1464058.0000","42.4600","42.7100","42.3000"
"2015/04/06","42.4800","3054359.0000","42.0600","42.7800","41.8700"
"2015/04/02","41.8600","1479547.0000","41.6700","41.9900","41.4900"
"2015/04/01","41.6200","2097123.0000","41.2300","41.7500","41.0400"
"2015/03/31","41.4300","2093959.0000","41.4000","41.9950","41.3600"
"2015/03/30","41.5900","1621321.0000","41.3700","41.6650","41.2100"
"2015/03/27","41.3100","2406323.0000","40.8500","41.3800","40.6000"
"2015/03/26","40.6900","5550448.0000","41.8900","41.9200","40.5550"
"2015/03/25","42.2000","4741085.0000","42.1400","42.9000","41.9500"
"2015/03/24","42.0800","2894181.0000","42.0000","42.3200","41.9200"
"2015/03/23","42.0100","3800147.0000","41.7500","42.4400","41.6600"
"2015/03/20","41.5800","3110419.0000","41.4300","41.8200","41.2000"
"2015/03/19","41.2600","2571062.0000","40.7100","41.3700","40.6500"
"2015/03/18","41.5000","2886314.0000","40.9900","41.7000","40.6950"
"2015/03/17","40.9900","2309988.0000","41.4900","41.5300","40.9100"
"2015/03/16","41.4200","2079258.0000","41.3500","41.7400","41.2000"
"2015/03/13","41.2400","4587059.0000","40.6000","41.3200","40.4000"
"2015/03/12","40.5600","4964111.0000","40.4100","40.6600","40.2200"
"2015/03/11","40.3400","4899673.0000","40.5400","40.7500","40.2500"
"2015/03/10","40.7500","3520106.0000","40.7700","41.0000","40.5100"
"2015/03/09","41.2700","2056928.0000","41.4600","41.5500","41.1400"
"2015/03/06","41.4300","4638395.0000","42.0300","42.1100","41.3000"
"2015/03/05","42.1100","6451147.0000","42.6600","43.3000","42.1100"
"2015/03/04","41.9500","4817952.0000","42.6200","42.6900","41.6200"
"2015/03/03","42.6500","4817924.0000","43.4100","43.4200","42.5200"
"2015/03/02","43.5600","5747653.0000","43.5100","43.8700","43.0700"
"2015/02/27","43.5500","3814370.0000","43.3500","43.7650","43.1900"
"2015/02/26","43.4100","5445011.0000","43.0000","43.4700","42.8600"
