"date","close","volume","open","high","low"
"2015/05/01","38.9900","1783808.0000","39.1500","39.4600","38.5900"
"2015/04/30","39.2400","3214058.0000","39.7800","40.1800","38.5200"
"2015/04/29","39.6900","2263315.0000","39.0400","40.2700","38.8400"
"2015/04/28","39.0900","2614592.0000","38.1400","39.1300","37.8400"
"2015/04/27","38.1800","1528474.0000","39.0200","39.4600","38.1600"
"2015/04/24","38.7600","2928868.0000","37.9000","38.9600","37.6800"
"2015/04/23","38.0400","1889908.0000","37.6100","38.8300","37.6100"
"2015/04/22","37.7700","1751311.0000","37.5200","38.5100","36.9300"
"2015/04/21","36.9800","2696984.0000","38.0800","38.3200","36.7903"
"2015/04/20","38.1600","2049416.0000","38.5300","39.3700","38.0000"
"2015/04/17","38.4800","1965884.0000","38.5000","38.7500","37.9200"
"2015/04/16","38.7500","2937850.0000","38.4300","39.2600","37.9900"
"2015/04/15","38.7800","3707979.0000","37.7000","39.1400","37.2600"
"2015/04/14","37.4400","1922033.0000","36.9300","37.4850","36.7100"
"2015/04/13","36.5600","1919093.0000","37.6000","37.7000","36.3900"
"2015/04/10","37.1900","2260244.0000","37.4500","37.6300","36.9000"
"2015/04/09","37.1000","2184425.0000","36.1100","37.3400","36.1100"
"2015/04/08","36.1000","2657449.0000","37.1900","37.5700","35.9700"
"2015/04/07","37.0100","2723194.0000","37.6000","38.3100","36.9500"
"2015/04/06","37.7300","3998597.0000","36.7500","38.1900","36.5600"
"2015/04/02","36.2800","3551289.0000","35.8100","37.5000","35.7300"
"2015/04/01","36.0900","3474336.0000","35.4000","36.9300","35.4000"
"2015/03/31","35.0900","4294215.0000","34.6900","35.5800","34.3700"
"2015/03/30","35.1800","2686263.0000","34.8200","35.4300","34.7300"
"2015/03/27","34.2800","2800458.0000","33.9400","34.7650","33.6200"
"2015/03/26","34.2400","3234172.0000","34.4800","35.1900","33.9500"
"2015/03/25","33.7700","2644612.0000","33.3300","34.2800","33.0200"
"2015/03/24","32.9400","2000026.0000","32.5700","33.0400","32.1200"
"2015/03/23","32.6500","2117912.0000","33.2600","33.7500","32.6500"
"2015/03/20","33.2900","4875595.0000","33.0400","34.3600","32.8900"
"2015/03/19","32.4700","2434190.0000","32.4600","33.0600","32.1700"
"2015/03/18","33.3700","4436554.0000","31.1200","33.7400","31.0700"
"2015/03/17","31.5700","1889096.0000","31.4900","32.1000","31.4000"
"2015/03/16","31.7300","2310909.0000","31.0900","31.8000","30.6600"
"2015/03/13","31.3600","3598692.0000","30.7000","31.4000","30.1500"
"2015/03/12","31.1000","2117848.0000","31.3400","31.6900","31.0300"
"2015/03/11","31.2800","1871653.0000","31.0200","31.5600","30.9100"
"2015/03/10","30.9600","2113100.0000","31.0900","31.7300","30.8600"
"2015/03/09","31.6900","1920484.0000","31.9900","32.3800","31.4700"
"2015/03/06","32.0000","2248834.0000","32.3100","32.9400","31.8100"
"2015/03/05","32.7700","2915592.0000","33.1500","33.1500","32.2600"
"2015/03/04","33.1800","4726714.0000","33.1100","33.5000","31.9600"
"2015/03/03","32.9400","3587786.0000","32.6400","33.5500","32.4800"
"2015/03/02","32.4300","5177241.0000","32.9100","33.0800","31.6000"
"2015/02/27","33.0300","6640433.0000","33.8100","34.0700","32.9900"
"2015/02/26","33.6000","22585890.0000","33.8800","33.9900","32.9100"
"2015/02/25","36.0000","9042707.0000","31.9200","36.2600","31.9200"
"2015/02/24","31.6700","3359893.0000","32.1000","32.4000","31.3700"
"2015/02/23","31.7100","3206351.0000","31.5900","32.3600","31.4800"
"2015/02/20","32.0900","2768912.0000","32.8300","33.1300","31.6900"
"2015/02/19","32.7800","2470834.0000","31.8100","33.0250","31.2300"
"2015/02/18","32.8500","3674229.0000","32.6300","33.2100","32.0800"
"2015/02/17","33.0900","3993235.0000","32.0000","33.4600","31.9500"
"2015/02/13","32.2400","4031659.0000","31.3800","32.4650","31.2500"
"2015/02/12","30.8900","2584002.0000","30.6200","31.1100","30.2800"
"2015/02/11","29.9100","3085979.0000","29.3400","30.1800","28.6800"
"2015/02/10","30.1800","4403049.0000","30.2000","30.3300","28.9600"
"2015/02/09","30.5600","3287329.0000","31.0200","31.6800","30.3800"
"2015/02/06","30.7900","3538436.0000","31.2400","31.4800","30.3200"
"2015/02/05","30.8900","5097562.0000","31.6600","32.0500","30.5950"
"2015/02/04","30.9900","4398118.0000","31.3700","31.9700","30.4200"
"2015/02/03","32.1800","6199536.0000","31.1000","32.5400","31.0200"
"2015/02/02","30.9300","5025322.0000","30.1300","30.9400","29.5600"
"2015/01/30","29.7800","4538937.0000","28.0500","30.2550","27.7800"
"2015/01/29","28.5100","4304631.0000","27.8200","28.6350","27.1500"
"2015/01/28","27.4300","3576171.0000","28.4300","28.4300","27.2500"
"2015/01/27","28.7700","2695662.0000","28.1200","29.1200","28.0100"
"2015/01/26","28.2900","3507931.0000","28.7100","28.7600","27.6400"
"2015/01/23","28.4900","5077583.0000","28.7600","29.5700","28.2700"
"2015/01/22","28.5300","4997648.0000","28.3100","28.5800","27.4400"
"2015/01/21","28.0900","5337595.0000","26.6700","28.1400","26.5500"
"2015/01/20","26.2800","4659551.0000","25.6900","26.5100","24.8200"
