"date","close","volume","open","high","low"
"2015/05/06","67.2300","7082817.0000","67.9600","68.1700","66.7900"
"2015/05/05","67.2000","9142512.0000","67.4400","68.3600","66.9800"
"2015/05/04","67.0200","6638052.0000","67.4100","67.6200","66.7030"
"2015/05/01","67.4400","5960040.0000","67.7400","67.9800","66.9700"
"2015/04/30","67.9200","7365555.0000","69.0200","69.0300","67.6600"
"2015/04/29","68.0600","6035216.0000","67.4200","68.3100","67.2200"
"2015/04/28","67.7400","4265656.0000","67.2000","67.7600","67.0100"
"2015/04/27","67.0600","4419001.0000","67.7800","67.9700","67.0000"
"2015/04/24","67.5100","6274388.0000","67.8500","67.8700","67.0300"
"2015/04/23","68.2600","4626937.0000","68.2600","68.8800","68.0111"
"2015/04/22","67.8800","4472890.0000","67.9500","68.1400","67.1300"
"2015/04/21","68.0200","5561587.0000","68.6100","68.9900","67.6499"
"2015/04/20","68.6100","7834860.0000","68.0900","69.2500","68.0500"
"2015/04/17","67.6900","9610211.0000","68.5900","68.5900","67.1801"
"2015/04/16","69.0100","8394387.0000","68.9900","69.7200","68.2100"
"2015/04/15","69.4000","7772842.0000","68.9100","69.6600","68.5000"
"2015/04/14","68.3600","8907916.0000","66.8200","68.5500","66.7400"
"2015/04/13","66.3400","5737010.0000","66.9000","67.4200","66.3300"
"2015/04/10","66.5300","6014166.0000","67.3600","67.4000","66.3850"
"2015/04/09","67.0000","10978870.0000","65.0200","67.4600","64.8600"
"2015/04/08","64.8100","8570557.0000","66.0700","66.2300","64.8000"
"2015/04/07","65.7900","7175925.0000","65.2600","66.0400","65.0700"
"2015/04/06","65.3900","10168060.0000","63.4200","65.8800","63.4000"
"2015/04/02","63.1800","5907188.0000","62.7100","63.4100","62.5700"
"2015/04/01","63.0200","8939245.0000","62.7100","63.4900","62.6402"
"2015/03/31","62.2600","9168319.0000","63.2500","63.4700","62.2400"
"2015/03/30","64.0000","6020705.0000","63.4800","64.1500","63.4000"
"2015/03/27","62.9300","5198596.0000","62.9600","63.0900","62.4605"
"2015/03/26","63.2400","6888305.0000","63.9500","64.1400","62.9201"
"2015/03/25","63.0500","7659933.0000","63.2200","63.5000","62.6600"
"2015/03/24","62.5500","6365480.0000","63.4500","63.6200","62.5250"
"2015/03/23","63.2300","7380020.0000","64.0000","64.1800","63.2100"
"2015/03/20","63.8400","10055820.0000","63.1500","64.1200","63.0000"
"2015/03/19","62.7600","7900490.0000","62.7800","63.3100","62.4450"
"2015/03/18","63.6400","9535180.0000","61.5400","64.3100","61.5100"
"2015/03/17","62.0100","6487772.0000","62.0100","62.4850","61.3800"
"2015/03/16","62.4000","6317772.0000","61.2100","62.4600","60.8320"
"2015/03/13","61.6400","8251636.0000","60.7600","61.8000","60.5700"
"2015/03/12","61.3600","5519889.0000","61.5800","61.9100","61.3200"
"2015/03/11","61.3000","6329703.0000","60.9500","61.8700","60.8120"
"2015/03/10","60.8700","8898241.0000","60.9900","61.7200","60.6900"
"2015/03/09","61.9700","6491610.0000","62.7700","63.3400","61.9700"
"2015/03/06","62.7900","6732713.0000","63.0000","63.6800","62.6700"
"2015/03/05","63.3300","5978005.0000","64.0100","64.0800","63.3300"
"2015/03/04","64.2500","5485316.0000","64.7900","64.7900","63.6700"
"2015/03/03","64.7800","5410608.0000","64.3600","65.2700","64.2700"
"2015/03/02","64.4000","8056985.0000","65.3600","65.3600","63.8300"
"2015/02/27","65.2000","6957103.0000","66.0000","66.0986","65.1300"
"2015/02/26","65.8500","7836059.0000","66.8900","66.8900","65.5900"
"2015/02/25","67.5300","6146809.0000","67.4700","67.8400","66.9600"
"2015/02/24","67.0900","4864019.0000","67.4700","67.4800","66.7600"
"2015/02/23","66.9200","6072086.0000","66.6800","67.5400","66.5100"
"2015/02/20","67.3800","8781741.0000","67.1900","67.4200","66.3300"
"2015/02/19","67.4200","9021865.0000","66.0600","67.8500","65.4200"
"2015/02/18","67.7300","8927516.0000","68.0300","69.0600","67.6100"
"2015/02/17","69.4700","7651817.0000","69.1500","69.9700","68.5200"
"2015/02/13","69.8800","8418322.0000","68.8300","70.1100","68.7000"
"2015/02/12","68.0400","8635655.0000","68.2400","68.8500","67.6200"
"2015/02/11","67.8800","8362866.0000","67.2300","68.4700","66.8000"
"2015/02/10","67.9900","7874146.0000","67.8600","68.1100","66.5000"
"2015/02/09","67.8500","8066969.0000","67.9700","68.6100","67.6400"
"2015/02/06","67.4900","7651372.0000","68.2400","68.3800","67.1800"
"2015/02/05","67.5700","8708053.0000","67.0200","67.5900","66.2900"
"2015/02/04","65.8700","12237600.0000","66.6200","66.6600","65.2400"
"2015/02/03","67.7400","15621410.0000","66.9300","67.9600","66.5123"
"2015/02/02","65.7700","10072030.0000","64.4700","65.7800","63.4100"
"2015/01/30","62.9800","10521340.0000","62.2300","63.8100","61.1501"
