Date	Price	Open	High	Low	Change %	helper
1-May-12	5	5	5	5	1.01	90
2-May-12	5.07	5.07	5.07	5.07	1.4	91
3-May-12	5.13	5.13	5.13	5.13	1.18	92
4-May-12	5.07	5.07	5.07	5.07	-1.17	93
5-May-12	5.08	5.08	5.08	5.08	0.2	94
6-May-12	5.05	5.05	5.05	5.05	-0.59	95
7-May-12	5.06	5.06	5.06	5.06	0.2	96
8-May-12	5.05	5.05	5.05	5.05	-0.2	97
9-May-12	5.04	5.04	5.04	5.04	-0.2	98
10-May-12	4.85	4.85	4.85	4.85	-3.77	99
11-May-12	4.96	4.96	4.96	4.96	2.27	100
12-May-12	4.95	4.95	4.95	4.95	-0.2	101
13-May-12	4.93	4.93	4.93	4.93	-0.4	102
14-May-12	5.01	5.01	5.01	5.01	1.62	103
15-May-12	5.03	5.03	5.03	5.03	0.4	104
16-May-12	5.09	5.09	5.09	5.09	1.19	105
17-May-12	5.1	5.1	5.1	5.1	0.2	106
18-May-12	5.12	5.12	5.12	5.12	0.39	107
19-May-12	5.1	5.1	5.1	5.1	-0.39	108
20-May-12	5.09	5.09	5.09	5.09	-0.2	109
21-May-12	5.1	5.1	5.1	5.1	0.2	110
22-May-12	5.1	5.1	5.1	5.1	0	111
23-May-12	5.14	5.14	5.14	5.14	0.78	112
24-May-12	5.12	5.12	5.12	5.12	-0.39	113
25-May-12	5.15	5.15	5.15	5.15	0.59	114
26-May-12	5.1	5.1	5.1	5.1	-0.97	115
27-May-12	5.14	5.14	5.14	5.14	0.78	116
28-May-12	5.14	5.14	5.14	5.14	0	117
29-May-12	5.15	5.15	5.15	5.15	0.19	118
30-May-12	5.13	5.13	5.13	5.13	-0.39	119
31-May-12	5.18	5.18	5.18	5.18	0.97	120
1-Jun-12	5.27	5.27	5.27	5.27	1.74	121
2-Jun-12	5.25	5.25	5.25	5.25	-0.38	122
3-Jun-12	5.21	5.21	5.21	5.21	-0.76	123
4-Jun-12	5.27	5.27	5.27	5.27	1.15	124
5-Jun-12	5.44	5.44	5.44	5.44	3.23	125
6-Jun-12	5.46	5.46	5.46	5.46	0.37	126
7-Jun-12	5.59	5.59	5.59	5.59	2.38	127
8-Jun-12	5.63	5.63	5.63	5.63	0.72	128
9-Jun-12	5.56	5.56	5.56	5.56	-1.24	129
10-Jun-12	5.47	5.47	5.47	5.47	-1.62	130
11-Jun-12	5.57	5.57	5.57	5.57	1.83	131
12-Jun-12	5.7	5.7	5.7	5.7	2.33	132
13-Jun-12	5.93	5.93	5.93	5.93	4.04	133
14-Jun-12	5.95	5.95	5.95	5.95	0.34	134
15-Jun-12	6.5	6.5	6.5	6.5	9.24	135
16-Jun-12	6.4	6.4	6.4	6.4	-1.54	136
17-Jun-12	6.16	6.16	6.16	6.16	-3.75	137
18-Jun-12	6.31	6.31	6.31	6.31	2.44	138
19-Jun-12	6.5	6.5	6.5	6.5	3.01	139
20-Jun-12	6.67	6.67	6.67	6.67	2.62	140
21-Jun-12	6.68	6.68	6.68	6.68	0.15	141
22-Jun-12	6.55	6.55	6.55	6.55	-1.95	142
23-Jun-12	6.43	6.43	6.43	6.43	-1.83	143
24-Jun-12	6.35	6.35	6.35	6.35	-1.24	144
25-Jun-12	6.3	6.3	6.3	6.3	-0.79	145
26-Jun-12	6.42	6.42	6.42	6.42	1.9	146
27-Jun-12	6.65	6.65	6.65	6.65	3.58	147
28-Jun-12	6.61	6.61	6.61	6.61	-0.6	148
29-Jun-12	6.65	6.65	6.65	6.65	0.61	149
30-Jun-12	6.69	6.69	6.69	6.69	0.6	150
1-Jul-12	6.63	6.63	6.63	6.63	-0.9	151
2-Jul-12	6.76	6.76	6.76	6.76	1.96	152
3-Jul-12	6.45	6.45	6.45	6.45	-4.59	153
4-Jul-12	6.51	6.51	6.51	6.51	0.93	154
5-Jul-12	6.67	6.67	6.67	6.67	2.46	155
6-Jul-12	6.65	6.65	6.65	6.65	-0.3	156
7-Jul-12	6.76	6.76	6.76	6.76	1.65	157
8-Jul-12	6.8	6.8	6.8	6.8	0.59	158
9-Jul-12	7.02	7.02	7.02	7.02	3.24	159
10-Jul-12	7.2	7.2	7.2	7.2	2.56	160
11-Jul-12	7.15	7.15	7.15	7.15	-0.69	161
12-Jul-12	7.76	7.76	7.76	7.76	8.53	162
13-Jul-12	7.67	7.67	7.67	7.67	-1.16	163
14-Jul-12	7.54	7.54	7.54	7.54	-1.69	164
15-Jul-12	7.62	7.62	7.62	7.62	1.06	165
16-Jul-12	8.5	8.5	8.5	8.5	11.55	166
17-Jul-12	8.8	8.8	8.8	8.8	3.53	167
18-Jul-12	9.11	9.11	9.11	9.11	3.52	168
19-Jul-12	8.87	8.87	8.87	8.87	-2.63	169
20-Jul-12	8.52	8.52	8.52	8.52	-3.95	170
21-Jul-12	8.85	8.85	8.85	8.85	3.87	171
22-Jul-12	8.41	8.41	8.41	8.41	-4.97	172
23-Jul-12	8.45	8.45	8.45	8.45	0.48	173
24-Jul-12	8.6	8.6	8.6	8.6	1.78	174
25-Jul-12	8.8	8.8	8.8	8.8	2.33	175
26-Jul-12	8.9	8.9	8.9	8.9	1.14	176
27-Jul-12	8.9	8.9	8.9	8.9	0	177
28-Jul-12	8.89	8.89	8.89	8.89	-0.11	178
29-Jul-12	8.71	8.71	8.71	8.71	-2.02	179
30-Jul-12	9.1	9.1	9.1	9.1	4.48	180
31-Jul-12	9.35	9.35	9.35	9.35	2.75	181
1-Aug-12	9.55	9.55	9.55	9.55	2.14	182
2-Aug-12	10.53	10.53	10.53	10.53	10.26	183
3-Aug-12	10.97	10.97	10.97	10.97	4.18	184
4-Aug-12	10.98	10.98	10.98	10.98	0.09	185
5-Aug-12	10.87	10.87	10.87	10.87	-1	186
6-Aug-12	10.86	10.86	10.86	10.86	-0.09	187
7-Aug-12	11.1	11.1	11.1	11.1	2.21	188
8-Aug-12	11.06	11.06	11.06	11.06	-0.36	189
9-Aug-12	11.06	11.06	11.06	11.06	0	190
10-Aug-12	11.39	11.39	11.39	11.39	2.98	191
11-Aug-12	11.51	11.51	11.51	11.51	1.05	192
12-Aug-12	11.62	11.62	11.62	11.62	0.96	193
13-Aug-12	12.04	12.04	12.04	12.04	3.61	194
14-Aug-12	12.19	12.19	12.19	12.19	1.25	195
15-Aug-12	13.25	13.25	13.25	13.25	8.7	196
16-Aug-12	13.5	13.5	13.5	13.5	1.89	197
17-Aug-12	11.58	11.58	11.58	11.58	-14.22	198
18-Aug-12	11.61	11.61	11.61	11.61	0.26	199
19-Aug-12	8	8	8	8	-31.09	200
20-Aug-12	10.1	10.1	10.1	10.1	26.25	201
21-Aug-12	9.91	9.91	9.91	9.91	-1.88	202
22-Aug-12	9.81	9.81	9.81	9.81	-1.01	203
23-Aug-12	10.1	10.1	10.1	10.1	2.96	204
24-Aug-12	10.6	10.6	10.6	10.6	4.95	205
25-Aug-12	10.52	10.52	10.52	10.52	-0.75	206
26-Aug-12	10.61	10.61	10.61	10.61	0.86	207
27-Aug-12	10.95	10.95	10.95	10.95	3.2	208
28-Aug-12	10.94	10.94	10.94	10.94	-0.09	209
29-Aug-12	10.92	10.92	10.92	10.92	-0.18	210
30-Aug-12	10.78	10.78	10.78	10.78	-1.28	211
31-Aug-12	10.16	10.16	10.16	10.16	-5.75	212
1-Sep-12	9.97	9.97	9.97	9.97	-1.87	213
2-Sep-12	10.2	10.2	10.2	10.2	2.31	214
3-Sep-12	10.53	10.53	10.53	10.53	3.24	215
4-Sep-12	10.38	10.38	10.38	10.38	-1.42	216
5-Sep-12	11	11	11	11	5.97	217
6-Sep-12	11.18	11.18	11.18	11.18	1.64	218
7-Sep-12	11	11	11	11	-1.61	219
8-Sep-12	11.04	11.04	11.04	11.04	0.36	220
9-Sep-12	11.02	11.02	11.02	11.02	-0.18	221
10-Sep-12	11.17	11.17	11.17	11.17	1.36	222
11-Sep-12	11.33	11.33	11.33	11.33	1.43	223
12-Sep-12	11.36	11.36	11.36	11.36	0.26	224
13-Sep-12	11.4	11.4	11.4	11.4	0.35	225
14-Sep-12	11.67	11.67	11.67	11.67	2.37	226
15-Sep-12	11.75	11.75	11.75	11.75	0.69	227
16-Sep-12	11.87	11.87	11.87	11.87	1.02	228
17-Sep-12	11.89	11.89	11.89	11.89	0.17	229
18-Sep-12	12.25	12.25	12.25	12.25	3.03	230
19-Sep-12	12.57	12.57	12.57	12.57	2.61	231
20-Sep-12	12.28	12.28	12.28	12.28	-2.31	232
21-Sep-12	12.37	12.37	12.37	12.37	0.73	233
22-Sep-12	12.24	12.24	12.24	12.24	-1.05	234
23-Sep-12	12.19	12.19	12.19	12.19	-0.41	235
24-Sep-12	12.1	12.1	12.1	12.1	-0.74	236
25-Sep-12	12.2	12.2	12.2	12.2	0.83	237
26-Sep-12	12.27	12.27	12.27	12.27	0.57	238
27-Sep-12	12.31	12.31	12.31	12.31	0.33	239
28-Sep-12	12.39	12.39	12.39	12.39	0.65	240
29-Sep-12	12.36	12.36	12.36	12.36	-0.24	241
30-Sep-12	12.4	12.4	12.4	12.4	0.32	242
1-Oct-12	12.4	12.4	12.4	12.4	0	243
2-Oct-12	12.84	12.84	12.84	12.84	3.55	244
3-Oct-12	12.89	12.89	12.89	12.89	0.39	245
4-Oct-12	12.85	12.85	12.85	12.85	-0.31	246
5-Oct-12	12.69	12.69	12.69	12.69	-1.25	247
6-Oct-12	12.5	12.5	12.5	12.5	-1.5	248
7-Oct-12	11.8	11.8	11.8	11.8	-5.6	249
8-Oct-12	11.78	11.78	11.78	11.78	-0.17	250
9-Oct-12	11.89	11.89	11.89	11.89	0.93	251
10-Oct-12	12.12	12.12	12.12	12.12	1.93	252
11-Oct-12	12.03	12.03	12.03	12.03	-0.74	253
12-Oct-12	12	12	12	12	-0.25	254
13-Oct-12	11.86	11.86	11.86	11.86	-1.17	255
14-Oct-12	11.74	11.74	11.74	11.74	-1.01	256
15-Oct-12	11.84	11.84	11.84	11.84	0.85	257
16-Oct-12	11.85	11.85	11.85	11.85	0.08	258
17-Oct-12	11.81	11.81	11.81	11.81	-0.34	259
18-Oct-12	11.94	11.94	11.94	11.94	1.1	260
19-Oct-12	11.74	11.74	11.74	11.74	-1.68	261
20-Oct-12	11.74	11.74	11.74	11.74	0	262
21-Oct-12	11.63	11.63	11.63	11.63	-0.94	263
22-Oct-12	11.71	11.71	11.71	11.71	0.69	264
23-Oct-12	11.65	11.65	11.65	11.65	-0.51	265
24-Oct-12	11.65	11.65	11.65	11.65	0	266
25-Oct-12	10.86	10.86	10.86	10.86	-6.78	267
26-Oct-12	10.17	10.17	10.17	10.17	-6.35	268
27-Oct-12	10.26	10.26	10.26	10.26	0.88	269
28-Oct-12	10.7	10.7	10.7	10.7	4.29	270
29-Oct-12	10.6	10.6	10.6	10.6	-0.93	271
30-Oct-12	10.89	10.89	10.89	10.89	2.74	272
31-Oct-12	11.2	11.2	11.2	11.2	2.85	273
1-Nov-12	10.57	10.57	10.57	10.57	-5.63	274
2-Nov-12	10.47	10.47	10.47	10.47	-0.95	275
3-Nov-12	10.64	10.64	10.64	10.64	1.62	276
4-Nov-12	10.8	10.8	10.8	10.8	1.5	277
5-Nov-12	10.75	10.75	10.75	10.75	-0.46	278
6-Nov-12	10.9	10.9	10.9	10.9	1.4	279
7-Nov-12	10.92	10.92	10.92	10.92	0.18	280
8-Nov-12	10.92	10.92	10.92	10.92	0	281
9-Nov-12	10.81	10.81	10.81	10.81	-1.01	282
10-Nov-12	10.89	10.89	10.89	10.89	0.74	283
11-Nov-12	10.87	10.87	10.87	10.87	-0.18	284
12-Nov-12	11.01	11.01	11.01	11.01	1.29	285
13-Nov-12	10.95	10.95	10.95	10.95	-0.54	286
14-Nov-12	10.95	10.95	10.95	10.95	0	287
15-Nov-12	11.2	11.2	11.2	11.2	2.28	288
16-Nov-12	11.75	11.75	11.75	11.75	4.91	289
17-Nov-12	11.79	11.79	11.79	11.79	0.34	290
18-Nov-12	11.65	11.65	11.65	11.65	-1.19	291
19-Nov-12	11.8	11.8	11.8	11.8	1.29	292
20-Nov-12	11.73	11.73	11.73	11.73	-0.59	293
21-Nov-12	11.77	11.77	11.77	11.77	0.34	294
22-Nov-12	12.42	12.42	12.42	12.42	5.52	295
23-Nov-12	12.34	12.34	12.34	12.34	-0.64	296
24-Nov-12	12.41	12.41	12.41	12.41	0.57	297
25-Nov-12	12.48	12.48	12.48	12.48	0.56	298
26-Nov-12	12.25	12.25	12.25	12.25	-1.84	299
27-Nov-12	12.2	12.2	12.2	12.2	-0.41	300
28-Nov-12	12.35	12.35	12.35	12.35	1.23	301
29-Nov-12	12.45	12.45	12.45	12.45	0.81	302
30-Nov-12	12.56	12.56	12.56	12.56	0.88	303
1-Dec-12	12.56	12.56	12.56	12.56	0	304
2-Dec-12	12.5	12.5	12.5	12.5	-0.48	305
3-Dec-12	12.68	12.68	12.68	12.68	1.44	306
4-Dec-12	13.41	13.41	13.41	13.41	5.76	307
5-Dec-12	13.38	13.38	13.38	13.38	-0.22	308
6-Dec-12	13.3	13.3	13.3	13.3	-0.6	309
7-Dec-12	13.5	13.5	13.5	13.5	1.5	310
8-Dec-12	13.42	13.42	13.42	13.42	-0.59	311
9-Dec-12	13.39	13.39	13.39	13.39	-0.22	312
10-Dec-12	13.43	13.43	13.43	13.43	0.3	313
11-Dec-12	13.56	13.56	13.56	13.56	0.97	314
12-Dec-12	13.7	13.7	13.7	13.7	1.03	315
13-Dec-12	13.7	13.7	13.7	13.7	0	316
14-Dec-12	13.6	13.6	13.6	13.6	-0.73	317
15-Dec-12	13.49	13.49	13.49	13.49	-0.81	318
16-Dec-12	13.3	13.3	13.3	13.3	-1.41	319
17-Dec-12	13.25	13.25	13.25	13.25	-0.38	320
18-Dec-12	13.3	13.3	13.3	13.3	0.38	321
19-Dec-12	13.6	13.6	13.6	13.6	2.26	322
20-Dec-12	13.52	13.52	13.52	13.52	-0.59	323
21-Dec-12	13.5	13.5	13.5	13.5	-0.15	324
22-Dec-12	13.37	13.37	13.37	13.37	-0.96	325
23-Dec-12	13.31	13.31	13.31	13.31	-0.45	326
24-Dec-12	13.38	13.38	13.38	13.38	0.53	327
25-Dec-12	13.35	13.35	13.35	13.35	-0.22	328
26-Dec-12	13.47	13.47	13.47	13.47	0.9	329
27-Dec-12	13.42	13.42	13.42	13.42	-0.37	330
28-Dec-12	13.42	13.42	13.42	13.42	0	331
29-Dec-12	13.4	13.4	13.4	13.4	-0.15	332
30-Dec-12	13.45	13.45	13.45	13.45	0.37	333
31-Dec-12	13.51	13.51	13.51	13.51	0.45	334
1-Jan-13	13.3	13.3	13.3	13.3	-1.55	335
2-Jan-13	13.28	13.28	13.28	13.28	-0.15	336
3-Jan-13	13.4	13.4	13.4	13.4	0.9	337
4-Jan-13	13.5	13.5	13.5	13.5	0.75	338
5-Jan-13	13.44	13.44	13.44	13.44	-0.44	339
6-Jan-13	13.45	13.45	13.45	13.45	0.07	340
7-Jan-13	13.59	13.59	13.59	13.59	1.04	341
8-Jan-13	13.74	13.74	13.74	13.74	1.1	342
9-Jan-13	13.77	13.77	13.77	13.77	0.22	343
10-Jan-13	14.14	14.14	14.14	14.14	2.69	344
11-Jan-13	14.14	14.14	14.14	14.14	0	345
12-Jan-13	14.24	14.24	14.24	14.24	0.71	346
13-Jan-13	14.12	14.12	14.12	14.12	-0.84	347
14-Jan-13	14.3	14.3	14.3	14.3	1.27	348
15-Jan-13	14.25	14.25	14.25	14.25	-0.35	349
16-Jan-13	14.73	14.73	14.73	14.73	3.37	350
17-Jan-13	15.5	15.5	15.5	15.5	5.23	351
18-Jan-13	15.7	15.7	15.7	15.7	1.29	352
19-Jan-13	15.61	15.61	15.61	15.61	-0.57	353
20-Jan-13	15.7	15.7	15.7	15.7	0.58	354
21-Jan-13	16.8	16.8	16.8	16.8	7.01	355
22-Jan-13	17.26	17.26	17.26	17.26	2.74	356
23-Jan-13	17.5	17.5	17.5	17.5	1.39	357
24-Jan-13	16.9	16.9	16.9	16.9	-3.43	358
25-Jan-13	17.4	17.4	17.4	17.4	2.96	359
26-Jan-13	17.88	17.88	17.88	17.88	2.76	360
27-Jan-13	17.82	17.82	17.82	17.82	-0.34	361
28-Jan-13	18.72	18.72	18.72	18.72	5.05	362
29-Jan-13	19.53	19.53	19.53	19.53	4.33	363
30-Jan-13	19.7	19.7	19.7	19.7	0.87	364
31-Jan-13	20.41	20.41	20.41	20.41	3.6	365
1-Feb-13	20.5	20.5	20.5	20.5	0.44	366
2-Feb-13	19.63	19.63	19.63	19.63	-4.24	367
3-Feb-13	20.59	20.59	20.59	20.59	4.89	368
4-Feb-13	20.43	20.43	20.43	20.43	-0.78	369
5-Feb-13	20.6	20.6	20.6	20.6	0.83	370
6-Feb-13	21.18	21.18	21.18	21.18	2.82	371
7-Feb-13	22.15	22.15	22.15	22.15	4.58	372
8-Feb-13	22.66	22.66	22.66	22.66	2.3	373
9-Feb-13	23.65	23.65	23.65	23.65	4.37	374
10-Feb-13	23.97	23.97	23.97	23.97	1.35	375
11-Feb-13	24.65	24.65	24.65	24.65	2.84	376
12-Feb-13	25.17	25.17	25.17	25.17	2.11	377
13-Feb-13	24.2	24.2	24.2	24.2	-3.85	378
14-Feb-13	27.22	27.22	27.22	27.22	12.48	379
15-Feb-13	27.1	27.1	27.1	27.1	-0.44	380
16-Feb-13	27.22	27.22	27.22	27.22	0.44	381
17-Feb-13	26.81	26.81	26.81	26.81	-1.51	382
18-Feb-13	26.95	26.95	26.95	26.95	0.52	383
19-Feb-13	29.42	29.42	29.42	29.42	9.17	384
20-Feb-13	29.64	29.64	29.64	29.64	0.75	385
21-Feb-13	29.75	29.75	29.75	29.75	0.37	386
22-Feb-13	30.25	30.25	30.25	30.25	1.68	387
23-Feb-13	29.8	29.8	29.8	29.8	-1.49	388
24-Feb-13	29.89	29.89	29.89	29.89	0.3	389
25-Feb-13	30.4	30.4	30.4	30.4	1.71	390
26-Feb-13	31.1	31.1	31.1	31.1	2.3	391
27-Feb-13	30.9	30.9	30.9	30.9	-0.64	392
28-Feb-13	33.38	33.38	33.38	33.38	8.03	393
1-Mar-13	34.5	34.5	34.5	34.5	3.36	394
2-Mar-13	34.25	34.25	34.25	34.25	-0.72	395
3-Mar-13	34.5	34.5	34.5	34.5	0.73	396
4-Mar-13	36.15	36.15	36.15	36.15	4.78	397
5-Mar-13	40.33	40.33	40.33	40.33	11.56	398
6-Mar-13	41.02	41.02	41.02	41.02	1.71	399
7-Mar-13	42	42	42	42	2.39	400
8-Mar-13	44.18	44.18	44.18	44.18	5.19	401
9-Mar-13	46.85	46.85	46.85	46.85	6.04	402
10-Mar-13	46	46	46	46	-1.81	403
11-Mar-13	48.4	48.4	48.4	48.4	5.22	404
12-Mar-13	44.29	44.29	44.29	44.29	-8.49	405
13-Mar-13	46.92	46.92	46.92	46.92	5.94	406
14-Mar-13	47.17	47.17	47.17	47.17	0.53	407
15-Mar-13	46.95	46.95	46.95	46.95	-0.47	408
16-Mar-13	47	47	47	47	0.11	409
17-Mar-13	47.4	47.4	47.4	47.4	0.85	410
18-Mar-13	51.6	51.6	51.6	51.6	8.86	411
19-Mar-13	59.14	59.14	59.14	59.14	14.61	412
20-Mar-13	64.49	64.49	64.49	64.49	9.05	413
21-Mar-13	70.85	70.85	70.85	70.85	9.86	414
22-Mar-13	69.86	69.86	69.86	69.86	-1.4	415
23-Mar-13	64.35	64.35	64.35	64.35	-7.89	416
24-Mar-13	71.5	71.5	71.5	71.5	11.11	417
25-Mar-13	73.6	73.6	73.6	73.6	2.94	418
26-Mar-13	78.5	78.5	78.5	78.5	6.66	419
27-Mar-13	88.92	88.92	88.92	88.92	13.27	420
28-Mar-13	86.18	86.18	86.18	86.18	-3.08	421
29-Mar-13	90.5	90.5	90.5	90.5	5.01	422
30-Mar-13	92.19	92.19	92.19	92.19	1.87	423
31-Mar-13	93.03	93.03	93.03	93.03	0.91	424
1-Apr-13	104	104	104	104	11.79	425
2-Apr-13	117.98	117.98	117.98	117.98	13.44	426
3-Apr-13	135	135	135	135	14.43	427
4-Apr-13	132.12	132.12	132.12	132.12	-2.13	428
5-Apr-13	142.32	142.32	142.32	142.32	7.72	429
6-Apr-13	142.63	142.63	142.63	142.63	0.22	430
7-Apr-13	162.3	162.3	162.3	162.3	13.79	431
8-Apr-13	187.5	187.5	187.5	187.5	15.53	432
9-Apr-13	230	230	230	230	22.67	433
10-Apr-13	165	165	165	165	-28.26	434
11-Apr-13	124.9	124.9	124.9	124.9	-24.3	435
12-Apr-13	117	117	117	117	-6.33	436
13-Apr-13	93	93	93	93	-20.51	437
14-Apr-13	90	90	90	90	-3.23	438
15-Apr-13	82.39	82.39	82.39	82.39	-8.46	439
16-Apr-13	68.36	68.36	68.36	68.36	-17.03	440
17-Apr-13	93.07	93.07	93.07	93.07	36.15	441
18-Apr-13	109.01	109.01	109.01	109.01	17.13	442
19-Apr-13	118.48	118.48	118.48	118.48	8.69	443
20-Apr-13	126.62	126.62	126.62	126.62	6.87	444
21-Apr-13	119.2	119.2	119.2	119.2	-5.86	445
22-Apr-13	127.4	127.4	127.4	127.4	6.88	446
23-Apr-13	143.47	143.47	143.47	143.47	12.61	447
24-Apr-13	154.2	154.2	154.2	154.2	7.48	448
25-Apr-13	141.71	141.71	141.71	141.71	-8.1	449
26-Apr-13	136.9	136.9	136.9	136.9	-3.39	450
27-Apr-13	128	128	128	128	-6.5	451
28-Apr-13	134.44	134.44	134.44	134.44	5.03	452
29-Apr-13	144	144	144	144	7.11	453
30-Apr-13	139.23	139.23	139.23	139.23	-3.31	454
1-May-13	116.38	116.38	116.38	116.38	-16.41	455
2-May-13	106.25	106.25	106.25	106.25	-8.7	456
3-May-13	98.1	98.1	98.1	98.1	-7.67	457
4-May-13	112.9	112.9	112.9	112.9	15.09	458
5-May-13	115.98	115.98	115.98	115.98	2.73	459
6-May-13	112.25	112.25	112.25	112.25	-3.22	460
7-May-13	109.6	109.6	109.6	109.6	-2.36	461
8-May-13	113.2	113.2	113.2	113.2	3.28	462
9-May-13	112.8	112.8	112.8	112.8	-0.35	463
10-May-13	117.7	117.7	117.7	117.7	4.34	464
11-May-13	115.64	115.64	115.64	115.64	-1.75	465
12-May-13	114.82	114.82	114.82	114.82	-0.71	466
13-May-13	117.98	117.98	117.98	117.98	2.75	467
