Date,Open,High,Low,Close,Volume,Market Cap,Positive Tweets,Negative Tweets
41504,112.75,114.69,112,113.5,39661596.69112609,1304320000,22,13
41505,113.38,123.06,111.77,119,39661714.66197313,1312160000,29,12
41506,119,123.01,117.51,121.2,39661902.68519149,1377730000,31,15
41507,121.21,124.91,119.68,123.3,39662159.55491211,1403890000,36,15
41508,123.3,123.5,120.6,121.15,39662481.37718057,1428700000,29,21
41509,122,122,118.44,118.5,39662861.52211057,1414290000,31,12
41510,118.51,121.39,118.02,120.05,39663290.84584123,1374420000,35,12
41511,119.6,122.99,119.17,122.11,39663767.8334454,1387640000,30,14
41512,122.11,122.75,119.93,120.06,39664283.99965721,1417200000,30,15
41513,120.07,127.24,120.07,126.5,39664811.89331699,1394010000,31,13
41514,126.48,127.32,122.62,122.62,39665309.12941172,1468960000,27,16
41515,122.62,123.7,122.21,122.39,39665720.59223253,1424680000,29,14
41516,122.35,135.75,120.99,133.49,39665981.79148243,1422120000,35,13
41517,133.09,140.89,132.72,135.35,39666035.61916681,1547640000,29,16
41518,135.14,145.81,134.81,138.34,39665831.16674826,1572230000,24,20
41519,138.63,146.5,134.89,135.85,39665323.48865313,1613600000,36,24
41520,135.61,138.34,133,136.77,39664506.45729272,1579180000,31,16
41521,136.53,144.5,123.61,126.74,39663420.28602853,1590550000,40,18
41522,126.76,131.44,121.83,126.43,39662141.75273655,1477250000,21,18
41523,126.49,127.34,119.15,119.15,39660772.62634955,1474670000,35,14
41524,118.89,125.94,118.46,124.15,39659422.60649695,1386610000,31,20
41525,124.13,124.72,120.49,121.66,39658180.9413446,1448180000,35,14
41526,121.86,129.06,119.75,127.11,39657130.63438017,1422180000,27,16
41527,127.27,129.74,125.9,125.91,39656343.80801588,1485960000,30,10
41528,125.89,137.83,123.27,135.25,39655888.24685445,1470450000,32,14
41529,135.55,136.08,131.81,133.13,39655803.89065957,1583960000,30,15
41530,132.83,137.58,132.27,134.98,39656112.82689336,1552880000,38,20
41531,135.01,135.85,128.87,129.22,39656812.70562559,1579050000,27,26
41532,129.4,131.44,128.26,130.37,39657898.58124456,1514140000,31,19
41533,130.86,132.72,129.77,131.72,39659343.19562406,1531820000,38,19
41534,131.59,132.76,124.89,131.66,39661105.76869474,1540880000,39,17
41535,131.71,133.2,130.54,131.47,39663136.93534383,1542870000,30,18
41536,131.37,131.77,128.45,129.65,39665371.75823169,1539430000,32,20
41537,129.7,135.62,126.68,127.04,39667731.40496053,1520470000,37,12
41538,126.95,128.61,126.24,127.43,39670122.51625133,1488870000,34,16
41539,127.87,133.94,126.59,129.12,39672457.86750248,1500260000,34,20
41540,128.98,132.72,125.66,125.95,39674646.01494098,1513940000,34,17
41541,126.05,127.46,125.39,127.25,39676599.88149142,1480210000,33,11
41542,127.38,129.69,127.33,128.22,39678554.44917486,1496510000,26,13
41543,128.21,134.93,127.32,128.38,39680285.15222333,1506920000,41,16
41544,128.94,134.74,128.49,133.78,39681176.59677026,1516020000,40,14
41545,133.77,135.63,132.56,134.78,39680723.44834832,1573400000,31,19
41546,134.9,140.61,134.71,137.34,39678475.93967762,1587290000,33,16
